citystate,rent,rentText,unitLabel,title,location,phone,availability,availabilityText,lastUpdated,listingid,url,img,itemTitle,logo,image,streetAddress,city,state,zip,lat,lng
akron-oh,495,$495,Condo for Rent,779 Anderson Ave,"Akron, OH 44306",,1,Available Now,,tdlkk3c,https://www.apartments.com/779-anderson-ave-akron-oh/tdlkk3c/,,779 Anderson Ave,undefined,https://images1.apartments.com/i2/_xh1ZuRJD-gp9JGWlYq3FZyiZTJm8cc28Gc38byFNfM/104/779-anderson-ave-akron-oh-building-photo.jpg,779 Anderson Ave,Akron,OH,44306,0,0
akron-oh,495,$495,2 Bed,779 Anderson Ave Unit 14,"Akron, OH 44306",,1,Available Now,1 day,r03cmv1,https://www.apartments.com/779-anderson-ave-akron-oh-unit-14/r03cmv1/,,779 Anderson Ave Unit 14,undefined,https://images1.apartments.com/i2/OdnyLUFN075gNSPDeVjS15hc0N0eGabsDC9NXh6gFpg/104/779-anderson-ave-unit-14-akron-oh-building-photo.jpg,779 Anderson Ave Unit 14,Akron,OH,44306,0,0
akron-oh,495,$495,Condo for Rent,496 Schiller Ave,"Akron, OH 44310",,1,Available Now,1 hr,974xey5,https://www.apartments.com/496-schiller-ave-akron-oh/974xey5/,,496 Schiller Ave,undefined,https://images1.apartments.com/i2/r0FNBsNc6JnhzM9mYrgGqY00ZZouDwuCyiwjbFCuMV4/104/496-schiller-ave-akron-oh-building-photo.jpg,496 Schiller Ave,Akron,OH,44310,0,0
akron-oh,495,$495,Condo for Rent,1809 S Arlington St,"Akron, OH 44306",,1,Available Now,,gl1nj1y,https://www.apartments.com/1809-s-arlington-st-akron-oh/gl1nj1y/,,1809 S Arlington St,undefined,https://images1.apartments.com/i2/N-qiBIbmZwuHLN6Qxf5FI-1j695hVvQ6-7gsYcRf6os/104/1809-s-arlington-st-akron-oh-building-photo.jpg,1809 S Arlington St,Akron,OH,44306,0,0
akron-oh,500,$500,Condo for Rent,966 Reed Ave,"Akron, OH 44306",,1,Available Now,,6sc2dmr,https://www.apartments.com/966-reed-ave-akron-oh/6sc2dmr/,,966 Reed Ave,undefined,https://images1.apartments.com/i2/ceU7UvYhnj29tyRTKLzqcdEE8KwCkB2Cb0n6nVeAlEo/104/966-reed-ave-akron-oh-primary-photo.jpg,966 Reed Ave,Akron,OH,44306,0,0
akron-oh,500,$500 - 650,1-2 Bed,Hill Chateau Apartments,"26 E Tallmadge Ave, Akron, OH 44310",,1,Available Now,2 wks,0rs4ls3,https://www.apartments.com/hill-chateau-apartments-akron-oh/0rs4ls3/,,Hill Chateau Apartments,undefined,https://images1.apartments.com/i2/K74WCQ7ZjJM9HsjGqsYMyqGLvipfoEeTaHd9rRXk3w4/104/hill-chateau-apartments-akron-oh-building-photo.jpg,26 E Tallmadge Ave,Akron,OH,44310,0,0
akron-oh,515,$515,1 Bed,Newton Tower Apartments,"370 Newton Cir, Akron, OH 44305",,1,Available Now,2 wks,6tfpqdt,https://www.apartments.com/newton-tower-apartments-akron-oh/6tfpqdt/,,Newton Tower Apartments,undefined,https://images1.apartments.com/i2/gl7vaCiotLvQe1btzncTyU1YtNnCswsORDTtoABEHO0/104/newton-tower-apartments-akron-oh-primary-photo.jpg,370 Newton Cir,Akron,OH,44305,0,0
akron-oh,525,$525,1 Bed,31 Firestone Blvd,"Akron, OH 44301",,1,Available Now,2 wks,5kz2vgq,https://www.apartments.com/31-firestone-blvd-akron-oh/5kz2vgq/,,31 Firestone Blvd,undefined,https://images1.apartments.com/i2/sS5PkH77MXLDbUgTfHZgZgxyjZjQcM9_wpUeQLqrqVE/104/31-firestone-blvd-akron-oh-building-photo.jpg,31 Firestone Blvd,Akron,OH,44301,0,0
akron-oh,525,$525,1 Bed,Wilmich Apartments,"2010-2040 Wilmich Dr, Akron, OH 44319",,1,Available Now,2 wks,yvxprtt,https://www.apartments.com/wilmich-apartments-akron-oh/yvxprtt/,,Wilmich Apartments,undefined,https://images1.apartments.com/i2/LzpO1plp_N6pvd0g7yxqG-0nah7_yibFywOStatisxs/104/wilmich-apartments-akron-oh-building-photo.jpg,2010-2040 Wilmich Dr,Akron,OH,44319,0,0
akron-oh,525,$525,1 Bed,2373 Newton St,"Akron, OH 44305",,1,Available Now,,rhvj0q3,https://www.apartments.com/2373-newton-st-akron-oh/rhvj0q3/,,2373 Newton St,undefined,https://images1.apartments.com/i2/Adt4yFDsYv953tEwuiwVx1lNQ-7oI4ITTokecpb9yC4/104/2373-newton-st-akron-oh-building-photo.jpg,2373 Newton St,Akron,OH,44305,0,0
akron-oh,525,$525,1 Bed,530 Kling St Unit 2,"Akron, OH 44311",,1,Available Now,1 day,tswqrh9,https://www.apartments.com/530-kling-st-akron-oh-unit-2/tswqrh9/,,530 Kling St Unit 2,undefined,https://images1.apartments.com/i2/3J0uBMJ6Lgt9eXgQEr32sRxuhBRQgbaFw7S-IRkk1Jw/104/530-kling-st-unit-2-akron-oh-building-photo.jpg,530 Kling St Unit 2,Akron,OH,44311,0,0
akron-oh,525,$525,1 Bed,530 Kling St Unit 3,"Akron, OH 44311",,1,Available Now,,jzjg5f5,https://www.apartments.com/530-kling-st-akron-oh-unit-3/jzjg5f5/,,530 Kling St Unit 3,undefined,https://images1.apartments.com/i2/OFZik5Tx6Dmd-3h5t17e38R4vHPvs9G1uQCb0KD216M/104/530-kling-st-unit-3-akron-oh-building-photo.jpg,530 Kling St Unit 3,Akron,OH,44311,0,0
akron-oh,525,$525 - 625,1-2 Bed,2979 Chenoweth Rd,"Akron, OH 44312",,1,Available Now,,4gpl98h,https://www.apartments.com/2979-chenoweth-rd-akron-oh/4gpl98h/,,2979 Chenoweth Rd,undefined,https://images1.apartments.com/i2/RvEKsyL078IfHDuwRR5JLfgi6GDTpZwz7aDaiH4Vgsc/104/2979-chenoweth-rd-akron-oh-primary-photo.jpg,2979 Chenoweth Rd,Akron,OH,44312,0,0
akron-oh,525,$525 - 625,2-3 Bed,Park Lane Manor Apartments,"744 Colette Dr, Akron, OH 44306",,1,Available Now,2 wks,4xl86sk,https://www.apartments.com/park-lane-manor-apartments-akron-oh/4xl86sk/,,Park Lane Manor Apartments,undefined,https://images1.apartments.com/i2/StVD9FF_5OS9BWddf4jEyZlk3zbxAkxJixl4pezWpNo/104/park-lane-manor-apartments-akron-oh-primary-photo.jpg,744 Colette Dr,Akron,OH,44306,0,0
akron-oh,535,$535 - 900,Studio - 2 Bed,The Heritage at White Pond,"915-975 Mull Ave, Akron, OH 44313",234-542-4716,1,Available Now,2 wks,vw3ejve,https://www.apartments.com/the-heritage-at-white-pond-akron-oh/vw3ejve/,,The Heritage at White Pond,https://images1.apartments.com/i2/XNtg_E9NjtsHibCa_irhGEQBYf-CUv6VeL9QUB100c4/110/castle-apartments-inc-logo.png,https://images1.apartments.com/i2/0THv1rws_OCMJyBuL-sKUanx2Uj8d9UYe6eC-qr3elI/106/the-heritage-at-white-pond-akron-oh-building-photo.jpg,915-975 Mull Ave,Akron,OH,44313,0,0
albuquerque-nm,330,$330 - 780,Studio - 3 Bed,The Beach,"2525 Tingley Dr SW, Albuquerque, NM 87104",888-421-6959,1,Available Now,2 wks,wjtf9dk,https://www.apartments.com/the-beach-albuquerque-nm/wjtf9dk/,https://images1.apartments.com/i2/SGNPB-ncuo6GGfPRHaqYnzrfQhVM9kubSlG6YxIHV30/106/the-beach-albuquerque-nm-building-photo.jpg,The Beach,https://images1.apartments.com/i2/bLFCnVXZIk-cQRjWKqkb-dPmotdZDPyRVUOu4pBKSRs/110/monarch-properties-inc-logo.png,https://images1.apartments.com/i2/SGNPB-ncuo6GGfPRHaqYnzrfQhVM9kubSlG6YxIHV30/106/the-beach-albuquerque-nm-building-photo.jpg,2525 Tingley Dr SW,Albuquerque,NM,87104,0,0
albuquerque-nm,375,$375,Condo for Rent,1723 Edith Blvd SE,"Albuquerque, NM 87102",,1,Available Now,2 days,qxqj3ww,https://www.apartments.com/1723-edith-blvd-se-albuquerque-nm/qxqj3ww/,https://images1.apartments.com/i2/PGJycy2yc5kOmpq5RVYhtvuctPZP88tvzb9qXcxMiVA/104/1723-edith-blvd-se-albuquerque-nm-primary-photo.jpg,1723 Edith Blvd SE,undefined,https://images1.apartments.com/i2/PGJycy2yc5kOmpq5RVYhtvuctPZP88tvzb9qXcxMiVA/104/1723-edith-blvd-se-albuquerque-nm-primary-photo.jpg,1723 Edith Blvd SE,Albuquerque,NM,87102,0,0
albuquerque-nm,395,$395,Townhome for Rent,416 Texas St NE,"Albuquerque, NM 87108",,1,Available Now,1 day,71bk95y,https://www.apartments.com/416-texas-st-ne-albuquerque-nm/71bk95y/,https://images1.apartments.com/i2/Cc5KMzDhIsCq-DapS7BxYX9LS8fqe6Pp478Um9dUy0Q/104/416-texas-st-ne-albuquerque-nm-building-photo.jpg,416 Texas St NE,undefined,https://images1.apartments.com/i2/Cc5KMzDhIsCq-DapS7BxYX9LS8fqe6Pp478Um9dUy0Q/104/416-texas-st-ne-albuquerque-nm-building-photo.jpg,416 Texas St NE,Albuquerque,NM,87108,0,0
albuquerque-nm,400,$400,House for Rent,1509 Madeira Dr NE,"Albuquerque, NM 87110",505-933-6889,1,Available Now,1 wk,g0mxg3z,https://www.apartments.com/1509-madeira-dr-ne-albuquerque-nm/g0mxg3z/,https://images1.apartments.com/i2/xLiv2MpgFLkKF6VdKyDvucX4JA7LqrCZZVE99YDwOxA/104/1509-madeira-dr-ne-albuquerque-nm-building-photo.jpg,1509 Madeira Dr NE,undefined,https://images1.apartments.com/i2/xLiv2MpgFLkKF6VdKyDvucX4JA7LqrCZZVE99YDwOxA/104/1509-madeira-dr-ne-albuquerque-nm-building-photo.jpg,1509 Madeira Dr NE,Albuquerque,NM,87110,0,0
albuquerque-nm,407,"$407 - 1,100",Studio - 3 Bed,Desert Creek,"4300 Pan American Fwy NE, Albuquerque, NM 87107",877-595-7128,1,Available Now,1 wk,5yf00xq,https://www.apartments.com/desert-creek-albuquerque-nm/5yf00xq/,https://images1.apartments.com/i2/FFi3AjplZsGubBmZRTU5OQSnsce7gsar91HoaCPj0Ao/106/desert-creek-albuquerque-nm-building-photo.jpg,Desert Creek,https://images1.apartments.com/i2/NMVKagQkNOgqSTqmb3MgUQSQ2tmXc6YQDVUQX58q5N0/110/greystar-real-estate-partners-logo.png,https://images1.apartments.com/i2/FFi3AjplZsGubBmZRTU5OQSnsce7gsar91HoaCPj0Ao/106/desert-creek-albuquerque-nm-building-photo.jpg,4300 Pan American Fwy NE,Albuquerque,NM,87107,0,0
albuquerque-nm,425,$425,Studio,1104 Arizona St SE Unit 23,"Albuquerque, NM 87108",505-218-7862,1,Available Now,1 wk,6qllbts,https://www.apartments.com/1104-arizona-st-se-albuquerque-nm-unit-23/6qllbts/,,1104 Arizona St SE Unit 23,undefined,https://images1.apartments.com/i2/koE8V_MzkBsBWFzxHyOeXZSoR0lwsBH45xy_Tm9J3rc/104/1104-arizona-st-se-unit-23-albuquerque-nm-building-photo.jpg,1104 Arizona St SE Unit 23,Albuquerque,NM,87108,0,0
albuquerque-nm,425,$425,House for Rent,221 Hanosh Ct SE,"Albuquerque, NM 87123",,1,Available Now,4 hrs,br7pc68,https://www.apartments.com/221-hanosh-ct-se-albuquerque-nm/br7pc68/,,221 Hanosh Ct SE,undefined,https://images1.apartments.com/i2/SH8Kil0c61b_r1YIGlQhQxEZfldDcJEMh38w1pebVuo/104/221-hanosh-ct-se-albuquerque-nm-building-photo.jpg,221 Hanosh Ct SE,Albuquerque,NM,87123,0,0
albuquerque-nm,425,$425,Studio,1332 San Mateo Blvd SE Unit 14,"Albuquerque, NM 87108",844-742-5712,1,Available Now,1 wk,gp9s7vw,https://www.apartments.com/1332-san-mateo-blvd-se-albuquerque-nm-unit-14/gp9s7vw/,,1332 San Mateo Blvd SE Unit 14,undefined,https://images1.apartments.com/i2/Hz1P62ywpUIwnskK9q2d3uFACuXuxIEMVhvJ2XBzZls/104/1332-san-mateo-blvd-se-unit-14-albuquerque-nm-building-photo.jpg,1332 San Mateo Blvd SE Unit 14,Albuquerque,NM,87108,0,0
albuquerque-nm,425,$425,House for Rent,451 58th St NW,"Albuquerque, NM 87105",,1,Available Now,2 days,kmvk9b9,https://www.apartments.com/451-58th-st-nw-albuquerque-nm/kmvk9b9/,,451 58th St NW,undefined,https://images1.apartments.com/i2/iAvMMhu7g_BHN3aD4beKIFKOBxps9UIrcCZQFSGSy7E/104/451-58th-st-nw-albuquerque-nm-building-photo.jpg,451 58th St NW,Albuquerque,NM,87105,0,0
albuquerque-nm,425,$425,Condo for Rent,219 Dallas St NE,"Albuquerque, NM 87108",,1,Available Now,1 wk,rypec62,https://www.apartments.com/219-dallas-st-ne-albuquerque-nm/rypec62/,,219 Dallas St NE,undefined,https://images1.apartments.com/i2/3ILuaFGpSpHZ-G5g66EGPzUd6-zrIWmo6-XPV__QxeY/104/219-dallas-st-ne-albuquerque-nm-building-photo.jpg,219 Dallas St NE,Albuquerque,NM,87108,0,0
albuquerque-nm,425,$425,Condo for Rent,3433 Vail Ave SE,"Albuquerque, NM 87106",,1,Available Now,,bkhpdq8,https://www.apartments.com/3433-vail-ave-se-albuquerque-nm/bkhpdq8/,,3433 Vail Ave SE,undefined,https://images1.apartments.com/i2/QD8FEhjc51G0tRRTy3iBXLHl3GXwuyEVXpdhNif9b34/104/3433-vail-ave-se-albuquerque-nm-building-photo.jpg,3433 Vail Ave SE,Albuquerque,NM,87106,0,0
albuquerque-nm,435,$435,House for Rent,304 Charleston St NE,"Albuquerque, NM 87108",,1,Available Now,3 hrs,9xngdn4,https://www.apartments.com/304-charleston-st-ne-albuquerque-nm/9xngdn4/,,304 Charleston St NE,undefined,https://images1.apartments.com/i2/be_Ly3WiQvnp-YNz_bTF-B8AlcCuASzIY9wAN85KXL4/104/304-charleston-st-ne-albuquerque-nm-building-photo.jpg,304 Charleston St NE,Albuquerque,NM,87108,0,0
albuquerque-nm,440,$440 - 599,Studio - 2 Bed,Bella Vista Apartments,"760 Juan Tabo Blvd NE, Albuquerque, NM 87123",844-227-9442,1,Available Now,2 wks,2wmb3fc,https://www.apartments.com/bella-vista-apartments-albuquerque-nm/2wmb3fc/,,Bella Vista Apartments,https://images1.apartments.com/i2/RJhRajYYXUC3clu0s1ZBFx0ywxGwzlEcD-h4UV7Et9Y/110/t-c-management-logo.png,https://images1.apartments.com/i2/9EAi1l_1YQjd6lREQx5TGdL1zXEXQEauyV3gK3gNbG0/106/bella-vista-apartments-albuquerque-nm-refreshing-swimming-pool.jpg,760 Juan Tabo Blvd NE,Albuquerque,NM,87123,0,0
albuquerque-nm,449,$449,Condo for Rent,420 Charleston St SE,"Albuquerque, NM 87108",,1,Available Now,3 days,7pytgby,https://www.apartments.com/420-charleston-st-se-albuquerque-nm/7pytgby/,,420 Charleston St SE,undefined,https://images1.apartments.com/i2/kC4tfx8U4nP3TwcoC5XA_WRz12iAS_vvpZnnpCwDnDs/104/420-charleston-st-se-albuquerque-nm-building-photo.jpg,420 Charleston St SE,Albuquerque,NM,87108,0,0
albuquerque-nm,450,$450,Studio,Crestridge Apartments,"12899 Central NE, Albuquerque, NM 87123",,1,Available Now,2 wks,q278y7x,https://www.apartments.com/crestridge-apartments-albuquerque-nm/q278y7x/,,Crestridge Apartments,undefined,https://images1.apartments.com/i2/svgSTYMA0iGoqmuOaftXCYTOBhYEF1UHyr0ObUqXH4c/104/crestridge-apartments-albuquerque-nm-building-photo.jpg,12899 Central NE,Albuquerque,NM,87123,0,0
albuquerque-nm,450,$450,1 Bed,Sun Apartments,"433-437 Mesilla St SE, Albuquerque, NM 87108",,1,Available Now,2 wks,he3xm20,https://www.apartments.com/sun-apartments-albuquerque-nm/he3xm20/,,Sun Apartments,undefined,https://images1.apartments.com/i2/juAbuBC8N5cwsIGV3deGpxhwWdLy7kzlyHra5wouR8k/104/sun-apartments-albuquerque-nm-primary-photo.jpg,433-437 Mesilla St SE,Albuquerque,NM,87108,0,0
albuquerque-nm,450,$450,Condo for Rent,643 Alcazar St SE,"Albuquerque, NM 87108",,1,Available Now,3 days,3c31q0f,https://www.apartments.com/643-alcazar-st-se-albuquerque-nm/3c31q0f/,,643 Alcazar St SE,undefined,https://images1.apartments.com/i2/Sx81Zp1w8tHCGXrb0aX68zmco934fx8G51g9FjGFJ3U/104/643-alcazar-st-se-albuquerque-nm-building-photo.jpg,643 Alcazar St SE,Albuquerque,NM,87108,0,0
albuquerque-nm,450,$450 - 600,1 Bed,Zuzi apartments,"8600 Zuni Rd SE, Albuquerque, NM 87108",,1,Available Now,2 wks,zpqw76y,https://www.apartments.com/zuzi-apartments-albuquerque-nm/zpqw76y/,,Zuzi apartments,undefined,https://images1.apartments.com/i2/ps9-n8vn8eATcTQ69fxz0olFq5Ao1CBRz9DgA9MyeYw/104/zuzi-apartments-albuquerque-nm-building-photo.jpg,8600 Zuni Rd SE,Albuquerque,NM,87108,0,0
albuquerque-nm,469,$469,Studio,Applewood Apartments,"317 Adams St SE, Albuquerque, NM 87108",,0,Available 10/01/17,,6ec633t,https://www.apartments.com/applewood-apartments-albuquerque-nm/6ec633t/,,Applewood Apartments,https://images1.apartments.com/i2/RJhRajYYXUC3clu0s1ZBFx0ywxGwzlEcD-h4UV7Et9Y/110/t-c-management-logo.png,https://images1.apartments.com/i2/Xjk92jWV-0ncJbcqz8LjUxsXXAtab4aO8dusr0_4S30/104/applewood-apartments-albuquerque-nm-building-photo.jpg,317 Adams St SE,Albuquerque,NM,87108,0,0
albuquerque-nm,475,$475,1 Bed,436 Utah St NE,"Albuquerque, NM 87108",,1,Available Now,1 day,15m68f7,https://www.apartments.com/436-utah-st-ne-albuquerque-nm/15m68f7/,,436 Utah St NE,https://images1.apartments.com/i2/WFqf_JaOJ7YAKJW4C8xDTf601HNPmE76CLapTirpVrA/110/maddox-property-management-logo.png,https://images1.apartments.com/i2/1FL2UPp74GUA-b4iPgoVw8wxzX-OJx5UNOkO6WYz7wI/104/436-utah-st-ne-albuquerque-nm-building-photo.jpg,436 Utah St NE,Albuquerque,NM,87108,0,0
albuquerque-nm,475,$475,1 Bed,300 Louisiana Blvd NE,"300 Louisiana Blvd NE, Albuquerque, NM 87108",,1,Available Now,1 day,tn2jsc9,https://www.apartments.com/300-louisiana-blvd-ne-albuquerque-nm/tn2jsc9/,,300 Louisiana Blvd NE,https://images1.apartments.com/i2/WFqf_JaOJ7YAKJW4C8xDTf601HNPmE76CLapTirpVrA/110/maddox-property-management-logo.png,https://images1.apartments.com/i2/PZjW4HcVmIRpgOQRRH-vJA7cvX7Fs9sFlAFaGP0GVw4/104/300-louisiana-blvd-ne-albuquerque-nm-building-photo.jpg,300 Louisiana Blvd NE,Albuquerque,NM,87108,0,0
albuquerque-nm,475,$475,1 Bed,"5607 Bell Ave SE Unit A,B","Albuquerque, NM 87108",505-225-8849,1,Available Now,1 wk,f10jnmt,https://www.apartments.com/5607-bell-ave-se-albuquerque-nm-unit-ab/f10jnmt/,,"5607 Bell Ave SE Unit A,B",undefined,https://images1.apartments.com/i2/aL74ygoMuHwaRles3Oty4JQY9kMZuLijbjA7rzyy3gg/104/5607-bell-ave-se-unit-ab-albuquerque-nm-building-photo.jpg,"5607 Bell Ave SE Unit A,B",Albuquerque,NM,87108,0,0
albuquerque-nm,475,$475,1 Bed,544 Chama St SE Unit D,"Albuquerque, NM 87108",505-226-4658,1,Available Now,5 days,fc61ffr,https://www.apartments.com/544-chama-st-se-albuquerque-nm-unit-d/fc61ffr/,,544 Chama St SE Unit D,undefined,https://images1.apartments.com/i2/uUX29Y4rbAdy8_I3WpwFAw04p-hMmwmrqMgoba8pXl8/104/544-chama-st-se-unit-d-albuquerque-nm-building-photo.jpg,544 Chama St SE Unit D,Albuquerque,NM,87108,0,0
albuquerque-nm,475,$475,Studio,"811 Roma Ave NW Unit E, F","Albuquerque, NM 87102",844-304-2486,1,Available Now,1 wk,gbh88ly,https://www.apartments.com/811-roma-ave-nw-albuquerque-nm-unit-e-f/gbh88ly/,,"811 Roma Ave NW Unit E, F",undefined,https://images1.apartments.com/i2/VWqu7BMEU4kTT-P-kPip9C6Piyfj75ZYCndUdZxcwuA/104/811-roma-ave-nw-unit-e-f-albuquerque-nm-building-photo.jpg,"811 Roma Ave NW Unit E, F",Albuquerque,NM,87102,0,0
albuquerque-nm,475,$475 - 600,Studio - 1 Bed,Sena Village Apartments Too,"100 59th St SW, Albuquerque, NM 87121",,0,Available 10/01/17,2 wks,nx98fqm,https://www.apartments.com/sena-village-apartments-too-albuquerque-nm/nx98fqm/,,Sena Village Apartments Too,undefined,https://images1.apartments.com/i2/Ftc1g7HalG3_8io1o1CVWabXIRg3mHOSrq58xQvaMos/104/sena-village-apartments-too-albuquerque-nm-building-photo.jpg,100 59th St SW,Albuquerque,NM,87121,0,0
allentown-pa,595,$595,Condo for Rent,1413 W Union St,"Allentown, PA 18102",,1,Available Now,1 hr,n3depxm,https://www.apartments.com/1413-w-union-st-allentown-pa/n3depxm/,https://images1.apartments.com/i2/Kvp9QgdqNtfjrXUooNfaTVokqk0zItWRvW-0tXREv0g/104/1413-w-union-st-allentown-pa-primary-photo.jpg,1413 W Union St,undefined,https://images1.apartments.com/i2/Kvp9QgdqNtfjrXUooNfaTVokqk0zItWRvW-0tXREv0g/104/1413-w-union-st-allentown-pa-primary-photo.jpg,1413 W Union St,Allentown,PA,18102,0,0
