citystate,rent,rentText,unitLabel,title,location,phone,availability,availabilityText,lastUpdated,listingid,url,img,itemTitle,logo,image,streetAddress,city,state,zip,lat,lng
"akron-oh","525","$525 - 610","1-2 Bedroom","Newton Hills Apartments","1900-1908 Newton St, Akron, OH 44305","330-931-4185","1","Available Now","2 wks","r2n47d2","https://www.apartments.com/newton-hills-apartments-akron-oh/r2n47d2/","","Newton Hills Apartments","https://images1.apartments.com/i2/1CWM_3REQI6_3aWCf2qJ6ODwyT4FaqCurNBTXjFCmMM/110/botnick-realty-company-logo.png","https://images1.apartments.com/i2/0VVCmqQNcNofPRW-J93FbZbH6CxXmxF0Yylk14A_eeU/106/newton-hills-apartments-akron-oh-building-photo.jpg","1900-1908 Newton St","Akron","OH","44305","41.07231","-81.45445",
"akron-oh","525","$525","1 Bedroom","2979 Chenoweth Rd","Akron, OH 44312","","1","Available Now","2 wks","4gpl98h","https://www.apartments.com/2979-chenoweth-rd-akron-oh/4gpl98h/","","2979 Chenoweth Rd","undefined","https://images1.apartments.com/i2/RvEKsyL078IfHDuwRR5JLdb_GIo3mFhFmRsOwpulmvs/104/2979-chenoweth-rd-akron-oh-primary-photo.jpg","2979 Chenoweth Rd","Akron","OH","44312","40.98759","-81.48778",
"akron-oh","525","$525","1 Bedroom","31 Firestone Blvd","Akron, OH 44301","","1","Available Now","2 wks","5kz2vgq","https://www.apartments.com/31-firestone-blvd-akron-oh/5kz2vgq/","","31 Firestone Blvd","undefined","https://images1.apartments.com/i2/sS5PkH77MXLDbUgTfHZgZi4QO9g9_DdRTMWGblL4c6Q/104/31-firestone-blvd-akron-oh-building-photo.jpg","31 Firestone Blvd","Akron","OH","44301","41.04331","-81.52558",
"akron-oh","525","$525","1 Bedroom","591 E Buchtel Ave Unit Unit F","Akron, OH 44304","","1","Available Now","2 hrs","h0np2b0","https://www.apartments.com/591-e-buchtel-ave-akron-oh/h0np2b0/","","591 E Buchtel Ave Unit Unit F","undefined","https://images1.apartments.com/i2/bXolKAL_d8Xrqzo_NxrPvqA1t_jsXr87yM5R8sdWpXs/104/591-e-buchtel-ave-akron-oh-primary-photo.jpg","591 E Buchtel Ave Unit Unit F","Akron","OH","44304","41.07698","-81.50015",
"akron-oh","525","$525","1 Bedroom","591 E Buchtel Ave Unit Unit G","Akron, OH 44304","","1","Available Now","2 hrs","92sphp4","https://www.apartments.com/591-e-buchtel-ave-akron-oh/92sphp4/","","591 E Buchtel Ave Unit Unit G","undefined","https://images1.apartments.com/i2/JfWm3vxNSnp2ul5OjH7Xm-7aSmBhopY6yLWLX6vwauI/104/591-e-buchtel-ave-akron-oh-primary-photo.jpg","591 E Buchtel Ave Unit Unit G","Akron","OH","44304","41.07698","-81.50015",
"akron-oh","525","$525","1 Bedroom","2353 Newton St Unit Unit A","Akron, OH 44305","","1","Available Now","2 hrs","gph87zw","https://www.apartments.com/2353-newton-st-akron-oh/gph87zw/","","2353 Newton St Unit Unit A","undefined","https://images1.apartments.com/i2/TUbO8kIsWSXgbF1GDfT5bpb565yN2BLrQg3OCsGgcOM/104/2353-newton-st-akron-oh-building-photo.jpg","2353 Newton St Unit Unit A","Akron","OH","44305","41.07265","-81.43822",
"akron-oh","525","$525","1 Bedroom","2369 Newton St","Akron, OH 44305","","1","Available Now","","8zn8rv3","https://www.apartments.com/2369-newton-st-akron-oh/8zn8rv3/","","2369 Newton St","undefined","https://images1.apartments.com/i2/RReQA2kcXwcSrdxb4ZX5p1Xt3TZ1se4hjAjuFOV8mhQ/104/2369-newton-st-akron-oh-building-photo.jpg","2369 Newton St","Akron","OH","44305","41.07264","-81.43757",
"akron-oh","525","$525","1 Bedroom","508 E Buchtel Ave","Akron, OH 44304","","1","Available Now","","jjezcw5","https://www.apartments.com/508-e-buchtel-ave-akron-oh/jjezcw5/","","508 E Buchtel Ave","undefined","https://images1.apartments.com/si2/9EPtjjfbjVg48oc_TL58mMDPaY-Ph6HujW-fFDvTq90TxJVu9BPEQjRU1CT9W4lx/117/image.jpg","508 E Buchtel Ave","Akron","OH","44304","41.07628","-81.5032",
"akron-oh","525","$525 - 600","1-2 Bedroom","Summer Hill Apartments","1260-1278 Brittain Rd, Akron, OH 44310","","1","Available Now","2 wks","m8cn46k","https://www.apartments.com/summer-hill-apartments-akron-oh/m8cn46k/","","Summer Hill Apartments","undefined","https://images1.apartments.com/i2/NsyVs8rZvsopT8nDU-hhFAgjXnHaGJ1I57j1T7BtA-g/104/summer-hill-apartments-akron-oh-building-photo.jpg","1260-1278 Brittain Rd","Akron","OH","44310","41.09725","-81.46711",
"akron-oh","535","$535 - 895","Studio - 2 Bedroom","The Heritage at White Pond","915-975 Mull Ave, Akron, OH 44313","234-542-4716","1","Available Now","1 day","vw3ejve","https://www.apartments.com/the-heritage-at-white-pond-akron-oh/vw3ejve/","","The Heritage at White Pond","https://images1.apartments.com/i2/XNtg_E9NjtsHibCa_irhGD-NibPv_8s1JXcKuICkPSY/110/castle-apartments-inc-logo.png","https://images1.apartments.com/i2/0THv1rws_OCMJyBuL-sKUXpbgtBlkV1GD7ttdHdXS6s/106/the-heritage-at-white-pond-akron-oh-building-photo.jpg","915-975 Mull Ave","Akron","OH","44313","41.1003","-81.58486",
"akron-oh","535","$535","1 Bedroom","Newton Tower Apartments","370 Newton Cir, Akron, OH 44305","","1","Available Now","2 wks","6tfpqdt","https://www.apartments.com/newton-tower-apartments-akron-oh/6tfpqdt/","","Newton Tower Apartments","undefined","https://images1.apartments.com/i2/gl7vaCiotLvQe1btzncTybrCOc_l2buvbK7MY1mwetU/104/newton-tower-apartments-akron-oh-primary-photo.jpg","370 Newton Cir","Akron","OH","44305","41.07303","-81.44103",
"akron-oh","550","$550","Condo for Rent","1757 S Arlington St","Akron, OH 44306","","1","Available Now","9 hrs","5bc4vfp","https://www.apartments.com/1757-s-arlington-st-akron-oh/5bc4vfp/","","1757 S Arlington St","undefined","https://images1.apartments.com/i2/T6E6vSWI9OLCyxI06CuftB1kBs-GRYh8q4NzvyeNPC4/104/1757-s-arlington-st-akron-oh-building-photo.jpg","1757 S Arlington St","Akron","OH","44306","41.02391","-81.49119",
"albany-ny","700","$700 - 775","1-2 Bedroom","Pine Hills Senior Apartments","581 Livingston Ave, Albany, NY 12206","","1","Available Now","2 wks","9qlxvs6","https://www.apartments.com/pine-hills-senior-apartments-albany-ny/9qlxvs6/","https://images1.apartments.com/i2/SooXgs7nq7lfPGjfTo-CIBYiS7TkRmvh822FirLFaEc/104/pine-hills-senior-apartments-albany-ny-building-photo.jpg","Pine Hills Senior Apartments","undefined","https://images1.apartments.com/i2/SooXgs7nq7lfPGjfTo-CIBYiS7TkRmvh822FirLFaEc/104/pine-hills-senior-apartments-albany-ny-building-photo.jpg","581 Livingston Ave","Albany","NY","12206","42.67115","-73.771",
"albany-ny","725","$725","1 Bedroom","26 Dana Ave Unit B1C","Albany, NY 12208","844-748-7086","1","Available Now","1 wk","89cl340","https://www.apartments.com/26-dana-ave-albany-ny/89cl340/","https://images1.apartments.com/i2/YqwrXX-ok-F4O83bgZwxqLYXit2Yp3eFvGnHL422Has/104/26-dana-ave-albany-ny-building-photo.jpg","26 Dana Ave Unit B1C","undefined","https://images1.apartments.com/i2/YqwrXX-ok-F4O83bgZwxqLYXit2Yp3eFvGnHL422Has/104/26-dana-ave-albany-ny-building-photo.jpg","26 Dana Ave Unit B1C","Albany","NY","12208","42.65225","-73.76952",
"albany-ny","750","$750","1 Bedroom","415 Magazine St Unit 2","Albany, NY 12203","","1","Available Now","1 day","x87jssm","https://www.apartments.com/415-magazine-st-albany-ny/x87jssm/","https://images1.apartments.com/i2/O2A0R2BDzUFyjMsqltEO67W3kXhsTPF81GUNYcCOruU/104/415-magazine-st-albany-ny-building-photo.jpg","415 Magazine St Unit 2","undefined","https://images1.apartments.com/i2/O2A0R2BDzUFyjMsqltEO67W3kXhsTPF81GUNYcCOruU/104/415-magazine-st-albany-ny-building-photo.jpg","415 Magazine St Unit 2","Albany","NY","12203","42.67319","-73.82331",
"albany-ny","800","$800 - 960","1-2 Bedroom","Grecian Terrace Apartments","1948 Central Ave, Albany, NY 12205","844-787-3605","0","Not Available","1 wk","drvb60h","https://www.apartments.com/grecian-terrace-apartments-albany-ny/drvb60h/","https://images1.apartments.com/i2/GnOv5ryDLQKjQXVkNH0tLDxBcqU6UBWMLvSPFX17uto/106/grecian-terrace-apartments-albany-ny-building-photo.jpg","Grecian Terrace Apartments","https://images1.apartments.com/i2/CtVqgJA-vGn-oS3epbQwdn_qb2lu4hY-eMtmGTi3Ao8/110/burns-management-logo.png","https://images1.apartments.com/i2/GnOv5ryDLQKjQXVkNH0tLDxBcqU6UBWMLvSPFX17uto/106/grecian-terrace-apartments-albany-ny-building-photo.jpg","1948 Central Ave","Albany","NY","12205","42.73845","-73.85742",
"albany-ny","815","$815 - 1,025","1-3 Bedroom","Tivoli Park Apartments","469 Livingston Ave, Albany, NY 12206","518-375-3545","0","Available Soon","2 wks","40fxmrk","https://www.apartments.com/tivoli-park-apartments-albany-ny/40fxmrk/","https://images1.apartments.com/i2/U23EJ00-wDhG3WUCGmavrEG6bj0c2IVQFYxNrZUgLPg/106/tivoli-park-apartments-albany-ny-building-photo.jpg","Tivoli Park Apartments","https://images1.apartments.com/i2/WinM9lDKGh7yotqEVPK3b2j3O75ai127RC5opCTKS5U/110/tri-city-rentals-logo.png","https://images1.apartments.com/i2/U23EJ00-wDhG3WUCGmavrEG6bj0c2IVQFYxNrZUgLPg/106/tivoli-park-apartments-albany-ny-building-photo.jpg","469 Livingston Ave","Albany","NY","12206","42.66901","-73.76711",
"albany-ny","850","$850 - 970","1-2 Bedroom","New Park Row Apartments","600 Warren St, Albany, NY 12208","844-863-5418","1","Available Now","","v9qy4mf","https://www.apartments.com/new-park-row-apartments-albany-ny/v9qy4mf/","","New Park Row Apartments","undefined","https://images1.apartments.com/i2/1Qg3p3Kir3i3-2_nugzRzR6yrc0J9UYzSBCXhI6hsJM/106/new-park-row-apartments-albany-ny-building-photo.jpg","600 Warren St","Albany","NY","12208","42.65644","-73.78339",
"albany-ny","850","$850","Townhome for Rent","5 Ten Eyck Ave","Albany, NY 12209","","1","Available Now","1 day","b3je9zc","https://www.apartments.com/5-ten-eyck-ave-albany-ny/b3je9zc/","","5 Ten Eyck Ave","undefined","https://images1.apartments.com/i2/dzDg2Hex9Pevzqp--sERagrk9Lv9RN_MosytaYrbsYg/104/5-ten-eyck-ave-albany-ny-primary-photo.jpg","5 Ten Eyck Ave","Albany","NY","12209","42.6408","-73.78467",
"albany-ny","850","$850","1 Bedroom","385 Morris St Unit 16","Albany, NY 12208","844-758-4067","1","Available Now","1 wk","f17lnzr","https://www.apartments.com/385-morris-st-albany-ny/f17lnzr/","","385 Morris St Unit 16","undefined","https://images1.apartments.com/i2/CMq6lTCNJuzWpBWIWO3fuNfT-X7XJE-JKAJHyhOaDrY/104/385-morris-st-albany-ny-living-room.jpg","385 Morris St Unit 16","Albany","NY","12208","42.658","-73.77982",
"albany-ny","850","$850","3 Bedroom","503 Yates St Unit FL1","Albany, NY 12208","","1","Available Now","1 day","k7t5ljb","https://www.apartments.com/503-yates-st-albany-ny/k7t5ljb/","","503 Yates St Unit FL1","undefined","https://images1.apartments.com/i2/Tx2HwqfFdiNWKTko9rPqMBTqiARuqnWjxtqPdboh0Ww/104/503-yates-st-albany-ny-building-photo.jpg","503 Yates St Unit FL1","Albany","NY","12208","42.66064","-73.78328",
"albany-ny","855","$855","1 Bedroom","Serafini Village","1941-1949 Western Ave, Albany, NY 12203","","1","Available Now","2 wks","0nh6630","https://www.apartments.com/serafini-village-albany-ny/0nh6630/","","Serafini Village","undefined","https://images1.apartments.com/i2/DXqs1EGkBFG25E5-K2Cl9fbqm3BEriaWsAyLMgnB6sM/104/serafini-village-albany-ny-building-photo.jpg","1941-1949 Western Ave","Albany","NY","12203","42.69392","-73.8765",
"albany-ny","895","$895","3 Bedroom","273 Ontario St Unit FL1","Albany, NY 12203","","1","Available Now","1 day","fmnshhv","https://www.apartments.com/273-ontario-st-albany-ny/fmnshhv/","","273 Ontario St Unit FL1","undefined","https://images1.apartments.com/i2/UNCjYXByNN0L6pqSA_Vu3vRT4kDJbME9-x3mZsbUQxM/104/273-ontario-st-albany-ny-building-photo.jpg","273 Ontario St Unit FL1","Albany","NY","12203","42.66171","-73.78134",
"albany-ny","899","$899 - 1,085","1-2 Bedroom","Loudon Arms","16 Old Hickory Dr, Albany, NY 12204","844-760-3038","1","Available Now","2 wks","x263c4q","https://www.apartments.com/loudon-arms-albany-ny/x263c4q/","","Loudon Arms","https://images1.apartments.com/i2/vDo4TDDXCYHe6AAg6BrQl3kZ1IHX1jaMwsoJCU2TAXs/110/dhm-properties-logo.png","https://images1.apartments.com/i2/W7oWPGHIAKX98za21sDJ9mOkWGfkrgA44jNAMjKwrzc/106/loudon-arms-albany-ny-rental-office.jpg","16 Old Hickory Dr","Albany","NY","12204","42.67451","-73.75018",
"albany-ny","900","$900","3 Bedroom","500 Yates St Unit FL2","Albany, NY 12208","","1","Available Now","1 day","k5k5j1c","https://www.apartments.com/500-yates-st-albany-ny/k5k5j1c/","","500 Yates St Unit FL2","undefined","https://images1.apartments.com/i2/nVMKn_2TIw7IbD03aZpCMylU9v9kJVgRD7J9h-EQRlU/104/500-yates-st-albany-ny-building-photo.jpg","500 Yates St Unit FL2","Albany","NY","12208","42.6604","-73.78332",
"albany-ny","920","$920 - 1,270","Studio - 2 Bedroom","Towne Towers Apartments","12 California Ave, Albany, NY 12205","518-213-5691","1","Available Now","2 wks","08kl8n2","https://www.apartments.com/towne-towers-apartments-albany-ny/08kl8n2/","","Towne Towers Apartments","https://images1.apartments.com/i2/WinM9lDKGh7yotqEVPK3b2j3O75ai127RC5opCTKS5U/110/tri-city-rentals-logo.png","https://images1.apartments.com/i2/q-_L-h7-t6Bj_gNQLh1Qani-dB2nflkvFAlBEeIe_-E/106/towne-towers-apartments-albany-ny-building-photo.jpg","12 California Ave","Albany","NY","12205","42.70354","-73.81446",
"albany-ny","920","$920","Condo for Rent","199 S Allen St","Albany, NY 12208","","1","Available Now","11 hrs","qc6d8my","https://www.apartments.com/199-s-allen-st-albany-ny/qc6d8my/","","199 S Allen St","undefined","https://images1.apartments.com/i2/eHUE92p226OEB__ty2sO-1Wj9Dq9kxA69huB0wOk_zQ/104/199-s-allen-st-albany-ny-primary-photo.jpg","199 S Allen St","Albany","NY","12208","42.66044","-73.79791",
"albany-ny","925","$925 - 1,620","Studio - 3 Bedroom","Oxford Heights","6211 Johnston Rd, Albany, NY 12203","844-282-2485","1","Available Now","2 wks","t6n8409","https://www.apartments.com/oxford-heights-albany-ny/t6n8409/","","Oxford Heights","https://images1.apartments.com/i2/CtVqgJA-vGn-oS3epbQwdn_qb2lu4hY-eMtmGTi3Ao8/110/burns-management-logo.png","https://images1.apartments.com/i2/iXgt-DQa0b7a4ZYL4SXWWHSulRzvRlvUmr3VRR9McKs/106/oxford-heights-albany-ny-building-photo.jpg","6211 Johnston Rd","Albany","NY","12203","42.6862","-73.86872",
"albany-ny","950","$950 - 1,100","2 Bedroom","Winding Brook Manor","20 Zuni St, Albany, NY 12208","","1","Available Now","2 wks","psd354t","https://www.apartments.com/winding-brook-manor-albany-ny/psd354t/","","Winding Brook Manor","undefined","https://images1.apartments.com/i2/ikgU0EtE8gysC4NEEu94ANGZNXqhCXCkDVRoN3zEPTU/104/winding-brook-manor-albany-ny-building-photo.jpg","20 Zuni St","Albany","NY","12208","42.65582","-73.82403",
"albany-ny","975","$975 - 1,205","Studio - 2 Bedroom","Stonehenge Gardens","9 Circle Ln, Albany, NY 12203","844-224-3165","1","Available Now","2 wks","h31e2x0","https://www.apartments.com/stonehenge-gardens-albany-ny/h31e2x0/","","Stonehenge Gardens","https://images1.apartments.com/i2/WinM9lDKGh7yotqEVPK3b2j3O75ai127RC5opCTKS5U/110/tri-city-rentals-logo.png","https://images1.apartments.com/i2/w8ftySXNb4ZhjVPQTnk1BGEUPY_CpCuOYLohvyzQLLQ/106/stonehenge-gardens-albany-ny-building-photo.jpg","9 Circle Ln","Albany","NY","12203","42.66506","-73.80902",
"albany-ny","975","$975","3 Bedroom","273 Ontario St Unit FL2","Albany, NY 12203","","1","Available Now","1 day","cek6see","https://www.apartments.com/273-ontario-st-albany-ny/cek6see/","","273 Ontario St Unit FL2","undefined","https://images1.apartments.com/i2/CMsfQwzn5FCIRxFJy8yKTL99erB0LVqMUDWzw6HoPEk/104/273-ontario-st-albany-ny-building-photo.jpg","273 Ontario St Unit FL2","Albany","NY","12203","42.66171","-73.78134",
"albany-ny","995","$995","1 Bedroom","441 State St Unit B","Albany, NY 12203","844-646-6601","1","Available Now","1 wk","m339wtj","https://www.apartments.com/441-state-st-albany-ny/m339wtj/","","441 State St Unit B","undefined","https://images1.apartments.com/i2/DofeABjwxh9Te0J9omeKfg99xZbtx-IUjzl1WyKKS6w/104/441-state-st-albany-ny-building-photo.jpg","441 State St Unit B","Albany","NY","12203","42.65809","-73.76754",
"albany-ny","1,005","$1,005 - 1,255","1-3 Bedroom","Towers of Colonie","420 Sand Creek Rd, Albany, NY 12205","518-213-5690","0","Available Soon","2 wks","282gflb","https://www.apartments.com/towers-of-colonie-albany-ny/282gflb/","","Towers of Colonie","https://images1.apartments.com/i2/WinM9lDKGh7yotqEVPK3b2j3O75ai127RC5opCTKS5U/110/tri-city-rentals-logo.png","https://images1.apartments.com/i2/t52L3mkM3CLpMht3k2R7LJng9r4G4kP30MiwxeUR-QQ/106/towers-of-colonie-albany-ny-building-photo.jpg","420 Sand Creek Rd","Albany","NY","12205","42.71152","-73.80767",
"albany-ny","1,010","$1,010","Condo for Rent","199 S Allen St","Albany, NY 12208","","1","Available Now","11 hrs","90r0087","https://www.apartments.com/199-s-allen-st-albany-ny/90r0087/","","199 S Allen St","undefined","https://images1.apartments.com/i2/2PhwrR1hx2xkKDrqYASY3WoMc3QSMVvWPejbozBKfA4/104/199-s-allen-st-albany-ny-building-photo.jpg","199 S Allen St","Albany","NY","12208","42.66044","-73.79791",
"albany-ny","1,025","$1,025 - 1,225","2 Bedroom","Adams Park Apartments","6A Weis Rd, Albany, NY 12208","844-348-7343","1","Available Now","","sjxhjt7","https://www.apartments.com/adams-park-apartments-albany-ny/sjxhjt7/","","Adams Park Apartments","undefined","https://images1.apartments.com/i2/KD03reH_MfOzyz_Md2me0sJI7OFUeXS_InQ2_oAhUF4/106/adams-park-apartments-albany-ny-building-photo.jpg","6A Weis Rd","Albany","NY","12208","42.65576","-73.80057",
"albany-ny","1,025","$1,025 - 1,630","1-3 Bedroom","Shaker Run Apartments","900 Shaker Run, Albany, NY 12205","844-281-3219","1","Available Now","1 wk","jr454w4","https://www.apartments.com/shaker-run-apartments-albany-ny/jr454w4/","","Shaker Run Apartments","https://images1.apartments.com/i2/OyjqhpzKRShvQ8zFDwVKDuCjDvYfYck-Z_GrlP9VPHU/110/rosetti-properties-logo.png","https://images1.apartments.com/i2/6X0A980ypJufBHv_DbdRXQNeCO8gxs0EbP83YcaPz2k/106/shaker-run-apartments-albany-ny-apartment-building.jpg","900 Shaker Run","Albany","NY","12205","42.72888","-73.82479",
"albany-ny","1,050","$1,050 - 1,360","1-2 Bedroom","Woodlake Apartments","51 Woodlake Rd, Albany, NY 12203","518-213-5747","0","Available Soon","2 wks","0eltkc1","https://www.apartments.com/woodlake-apartments-albany-ny/0eltkc1/","","Woodlake Apartments","https://images1.apartments.com/i2/WinM9lDKGh7yotqEVPK3b2j3O75ai127RC5opCTKS5U/110/tri-city-rentals-logo.png","https://images1.apartments.com/i2/Vj9yAKvvLtATTw2P6G8BK7wQuJyXcup_5epSHeHwHOk/106/woodlake-apartments-albany-ny-exterior.jpg","51 Woodlake Rd","Albany","NY","12203","42.67978","-73.84691",
