Name,City,State,Zipcode,Latitude,Longitude,Admission Rate,SAT Average,ACT Median,Undergrad Population,In-state Tuition,Out-of-state Tuition,Tuition Difference,Diff Percent
Westminster College,Salt Lake City,UT,84105,40.7315,-111.8556,0.7517,1134,25,1878,29500,29500,0,100
DeSales University,Center Valley,PA,18034-9568,40.5401,-75.3765,0.758,1069,24,1869,31250,31250,0,100
Lebanon Valley College,Annville,PA,17003-1400,40.3317,-76.5138,0.6686,1112,25,1852,35700,35700,0,100
Hamline University,Saint Paul,MN,55104-1284,44.9657,-93.164,0.6557,1106,24,1851,35108,35108,0,100
Caldwell College,Caldwell,NJ,07006-6195,40.8343,-74.2737,0.6408,949,21,1844,29000,29000,0,100
Taylor University,Upland,IN,46989-1001,40.4584,-85.4969,0.876,1214,28,1843,28753,28753,0,100
University of Minnesota-Morris,Morris,MN,56267,45.5898,-95.9018,0.5764,1168,26,1842,12584,12584,0,100
The College of Wooster,Wooster,OH,44691,40.8105,-81.9347,0.5633,1231,28,1837,41680,41680,0,100
Salve Regina University,Newport,RI,02840-4192,41.4714,-71.3011,0.6706,1109,25,1835,34950,34950,0,100
Flagler College-St Augustine,Saint Augustine,FL,32084,29.8934,-81.3153,0.4987,1096,23,1830,16180,16180,0,100
Rhode Island School of Design,Providence,RI,02903-2784,41.8259,-71.4077,0.2731,1239,28,1829,42932,42932,0,100
Elizabethtown College,Elizabethtown,PA,17022-2298,40.1504,-76.5942,0.6957,1117,25,1825,38200,38200,0,100
Susquehanna University,Selinsgrove,PA,17870-1025,40.7977,-76.8752,0.7233,1129,25,1824,38780,38780,0,100
Berry College,Mount Berry,GA,30149,34.2893,-85.1891,0.6032,1186,27,1822,29090,29090,0,100
Lynn University,Boca Raton,FL,33431-5598,26.3828,-80.1239,0.776,940,20,1817,33600,33600,0,100
California Lutheran University,Thousand Oaks,CA,91360-2787,34.2256,-118.8795,0.4802,1108,24,1816,35720,35720,0,100
Jacksonville University,Jacksonville,FL,32211-3394,30.3503,-81.6071,0.4737,1010,22,1814,29900,29900,0,100
Colby College,Waterville,ME,04901-8840,44.5642,-69.6634,0.2604,1343,30,1814,45760,45760,0,100
Macalester College,Saint Paul,MN,55105-1899,44.9367,-93.1699,0.3416,1350,31,1794,45388,45388,0,100
Holy Family University,Philadelphia,PA,19114-2009,40.0604,-74.9904,0.7585,933,19,1794,27100,27100,0,100
Albertus Magnus College,New Haven,CT,06511-1189,41.3325,-72.9238,0.6821,830,,1791,28378,28378,0,100
Nyack College,Nyack,NY,10960-3698,41.0864,-73.9311,0.9671,915,20,1786,23250,23250,0,100
Bloomfield College,Bloomfield,NJ,7003,40.7942,-74.1959,0.5464,835,,1785,25880,25880,0,100
Delaware Valley College,Doylestown,PA,18901-2697,40.2976,-75.1582,0.6834,1005,22,1785,32890,32890,0,100
Polytechnic Institute of New York University,Brooklyn,NY,11201,40.6944,-73.9868,0.7523,1303,30,1775,41328,41328,0,100
Oakwood University,Huntsville,AL,35896,34.7566,-86.6616,0.3435,924,20,1767,16234,16234,0,100
Hamilton College,Clinton,NY,13323,43.0478,-75.4089,0.2719,1384,31,1765,46080,46080,0,100
University of Mobile,Mobile,AL,36613-2842,30.7932,-88.1289,0.7125,1058,23,1764,18690,18690,0,100
Lesley University,Cambridge,MA,02138-2790,42.3784,-71.1156,0.6749,1065,24,1763,32375,32375,0,100
Wilkes University,Wilkes-Barre,PA,18766,41.2432,-75.8883,0.7598,1060,,1762,30350,30350,0,100
Oklahoma Christian University,Edmond,OK,73013-1100,35.609,-97.4683,0.6321,1124,25,1752,18800,18800,0,100
Babson College,Wellesley,MA,02457-0310,42.2965,-71.2695,0.2821,1258,28,1751,43520,43520,0,100
Willamette University,Salem,OR,97301,44.9357,-123.0307,0.5784,1198,27,1749,42305,42305,0,100
Lynchburg College,Lynchburg,VA,24501-3113,37.3977,-79.1842,0.6369,1002,22,1748,33565,33565,0,100
Illinois Institute of Technology,Chicago,IL,60616,41.8338,-87.6283,0.5697,1252,28,1736,40117,40117,0,100
Andrews University,Berrien Springs,MI,49104,41.9633,-86.3559,0.3751,1070,23,1736,25470,25470,0,100
Albright College,Reading,PA,19612-5234,40.3602,-75.9102,0.6231,1033,23,1728,36660,36660,0,100
Southern Wesleyan University,Central,SC,29630-1020,34.7281,-82.7616,0.937,916,19,1724,22200,22200,0,100
Ouachita Baptist University,Arkadelphia,AR,71998-0001,34.125,-93.0524,0.7011,1090,24,1714,22370,22370,0,100
Siena Heights University,Adrian,MI,49221,41.906,-84.0151,0.6765,990,21,1713,21890,21890,0,100
Mount Olive College,Mount Olive,NC,28365-0919,35.2063,-78.0713,0.4979,915,19,1713,17300,17300,0,100
George Fox University,Newberg,OR,97132,45.304,-122.9684,0.7528,1070,23,1709,31120,31120,0,100
Lewis & Clark College,Portland,OR,97219-7899,45.4505,-122.6725,0.6285,1279,29,1709,41928,41928,0,100
Mount St Mary's College,Los Angeles,CA,90049-1599,34.0821,-118.4805,0.7409,928,19,1708,33852,33852,0,100
Averett University,Danville,VA,24541,36.5773,-79.4132,0.6329,941,20,1707,27500,27500,0,100
Washington and Lee University,Lexington,VA,24450-2116,37.7878,-79.4457,0.1843,1392,32,1705,44507,44507,0,100
Occidental College,Los Angeles,CA,90041-3392,34.1262,-118.2108,0.4239,1303,29,1703,46652,46652,0,100
Franciscan University of Steubenville,Steubenville,OH,43952-1763,40.3761,-80.6231,0.7607,1163,26,1701,23160,23160,0,100
Amherst College,Amherst,MA,01002-5000,42.3725,-72.5185,0.1428,1434,32,1695,46574,46574,0,100
Mount Saint Mary College,Newburgh,NY,12550,41.5112,-74.0129,0.86,1006,22,1694,26250,26250,0,100
Saint Mary's University of Minnesota,Winona,MN,55987-1399,44.0453,-91.6967,0.7485,1068,23,1693,29315,29315,0,100
Husson University,Bangor,ME,04401-2999,44.8289,-68.7913,0.7989,962,19,1679,15130,15130,0,100
Davidson College,Davidson,NC,28035,35.5,-80.8452,0.2561,1353,31,1679,42849,42849,0,100
Roanoke College,Salem,VA,24153-3794,37.2969,-80.0564,0.7281,1086,24,1677,36597,36597,0,100
Nebraska Wesleyan University,Lincoln,NE,68504-2794,40.8388,-96.6484,0.7689,1109,24,1675,27242,27242,0,100
Wagner College,Staten Island,NY,10301-4495,40.615,-74.0957,0.6988,1154,25,1668,39220,39220,0,100
Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,40.1976,-75.2381,0.6591,944,19,1641,29450,29450,0,100
Misericordia University,Dallas,PA,18612-1098,41.3448,-75.971,0.6489,1057,23,1640,28210,28210,0,100
Cabrini College,Radnor,PA,19087-3698,40.0546,-75.3722,0.7428,896,20,1633,29000,29000,0,100
Carlow University,Pittsburgh,PA,15213-3165,40.4399,-79.9639,0.9522,946,20,1631,25416,25416,0,100
La Roche College,Pittsburgh,PA,15237-5898,40.5698,-80.012,0.5565,931,21,1627,24778,24778,0,100
Loras College,Dubuque,IA,52004-0178,42.5041,-90.6802,0.6903,1088,24,1626,28852,28852,0,100
Arcadia University,Glenside,PA,19038-3295,40.0919,-75.1652,0.5969,1095,25,1625,36810,36810,0,100
Georgian Court University,Lakewood,NJ,08701-2697,40.0987,-74.2262,0.779,900,,1618,29606,29606,0,100
Muskingum University,New Concord,OH,43762,39.9966,-81.7372,0.7596,983,21,1614,23662,23662,0,100
McDaniel College,Westminster,MD,21157,39.5849,-77.0017,0.7587,1105,24,1610,36960,36960,0,100
Bowdoin College,Brunswick,ME,4011,43.9071,-69.9639,0.1495,1423,32,1609,45446,45446,0,100
Marywood University,Scranton,PA,18509-1598,41.435,-75.634,0.713,1050,,1609,30690,30690,0,100
Wartburg College,Waverly,IA,50677-0903,42.7276,-92.4809,0.7765,1077,24,1600,34250,34250,0,100
Stevens Institute of Technology,Hoboken,NJ,07030-5991,40.7448,-74.0253,0.3816,1305,30,1599,44490,44490,0,100
Kenyon College,Gambier,OH,43022,40.3423,-82.3454,0.3838,1328,30,1599,45640,45640,0,100
Endicott College,Beverly,MA,1915,42.5542,-70.8407,0.7165,1070,23,1596,28926,28926,0,100
Cornerstone University,Grand Rapids,MI,49525-5897,42.979,-85.5956,0.6807,1084,24,1592,24168,24168,0,100
Berea College,Berea,KY,40404-2182,37.5733,-84.2893,0.3401,1113,24,1590,23170,23170,0,100
Maryland Institute College of Art,Baltimore,MD,21217-4134,39.3088,-76.621,0.5803,1175,,1588,40890,40890,0,100
Manhattanville College,Purchase,NY,10577,41.0311,-73.7183,0.7674,1075,,1582,35370,35370,0,100
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,39.4809,-87.3236,0.5622,1310,30,1581,42654,42654,0,100
West Virginia Wesleyan College,Buckhannon,WV,26201-2994,38.9905,-80.2171,0.7696,1021,23,1581,26794,26794,0,100
Walla Walla University,College Place,WA,99324-1198,46.047,-118.3898,0.9286,1072,24,1580,25377,25377,0,100
Johnson C Smith University,Charlotte,NC,28216-5398,35.2434,-80.8548,0.3668,826,17,1576,18236,18236,0,100
Pomona College,Claremont,CA,91711-6319,34.0983,-117.7119,0.1392,1454,33,1574,43580,43580,0,100
Eckerd College,Saint Petersburg,FL,33711-4700,27.719,-82.686,0.7104,1138,26,1572,37362,37362,0,100
Dominican College of Blauvelt,Orangeburg,NY,10962-1210,41.0541,-73.9523,0.7189,899,21,1564,24790,24790,0,100
Elmira College,Elmira,NY,14901,42.0927,-76.8113,0.7978,1060,24,1559,38150,38150,0,100
Newman University,Wichita,KS,67213-2097,37.6723,-97.3788,0.4472,1079,24,1557,23650,23650,0,100
Emmanuel College,Boston,MA,2115,42.3412,-71.103,0.6049,1090,24,1556,34670,34670,0,100
University of the Cumberlands,Williamsburg,KY,40769,36.7365,-84.1624,0.7127,1019,22,1554,20000,20000,0,100
Missouri Valley College,Marshall,MO,65340,39.1087,-93.1902,0.2218,920,20,1549,18300,18300,0,100
Drew University,Madison,NJ,7940,40.757,-74.4258,0.7743,1109,25,1537,44068,44068,0,100
Rhodes College,Memphis,TN,38112-1690,35.1544,-89.9892,0.5764,1288,29,1536,39794,39794,0,100
Bethel College-Indiana,Mishawaka,IN,46545-5591,41.6777,-86.1916,0.7158,1047,24,1534,24970,24970,0,100
Linfield College-McMinnville Campus,McMinnville,OR,97128-6894,45.2013,-123.2005,0.9219,1090,24,1534,36310,36310,0,100
Stillman College,Tuscaloosa,AL,35403,33.1992,-87.5852,0.43,882,19,1530,15901,15901,0,100
Gordon College,Wenham,MA,1984,42.5882,-70.8191,0.4133,1156,26,1528,33230,33230,0,100
Albion College,Albion,MI,49224,42.2446,-84.7461,0.5639,1143,25,1525,36051,36051,0,100
California Baptist University,Riverside,CA,92504-3297,33.9286,-117.4259,0.788,984,21,1524,28122,28122,0,100
Cedar Crest College,Allentown,PA,18104-6196,40.5867,-75.5198,0.588,948,21,1519,33000,33000,0,100
Doane College-Crete,Crete,NE,68333,40.6231,-96.9497,0.7173,1077,24,1517,26180,26180,0,100
Wesley College,Dover,DE,19901-3875,39.1633,-75.5274,0.625,841,20,1513,23590,23590,0,100
Fisher College,Boston,MA,2116,42.3553,-71.0741,0.6273,825,,1513,27575,27575,0,100
Lubbock Christian University,Lubbock,TX,79407-2099,33.5763,-101.9348,0.9489,1010,22,1511,18740,18740,0,100
Campbellsville University,Campbellsville,KY,42718-2799,37.3433,-85.3489,0.6844,985,21,1500,22196,22196,0,100
Mount St Mary's University,Emmitsburg,MD,21727-7799,39.6806,-77.3522,0.6741,1060,20,1500,34644,34644,0,100
The College of Saint Scholastica,Duluth,MN,55811-4199,46.8154,-92.1057,0.7265,1085,24,1499,31612,31612,0,100
Medaille College,Buffalo,NY,14214-2695,42.929,-78.8566,0.5429,865,,1496,23812,23812,0,100
Pratt Institute-Main,Brooklyn,NY,11205,40.6912,-73.9621,0.5572,1140,26,1495,43126,43126,0,100
Franklin Pierce University,Rindge,NH,03461-0060,42.7823,-72.0579,0.8472,975,19,1489,31000,31000,0,100
Evangel University,Springfield,MO,65802,37.221,-93.2626,0.6425,1046,23,1488,20040,20040,0,100
Felician College,Lodi,NJ,7644,40.8673,-74.0965,0.8819,877,19,1484,29990,29990,0,100
Howard Payne University,Brownwood,TX,76801-2794,31.7163,-98.985,0.5382,953,20,1480,23200,23200,0,100
Graceland University-Lamoni,Lamoni,IA,50140,40.616,-93.9249,0.5018,969,21,1477,23530,23530,0,100
Neumann University,Aston,PA,19014-1298,39.8749,-75.4379,0.5531,861,18,1474,24948,24948,0,100
Vanguard University of Southern California,Costa Mesa,CA,92626,33.6627,-117.9009,0.6977,980,23,1470,29250,29250,0,100
Westminster College,New Wilmington,PA,16172,41.1185,-80.3314,0.7336,1040,23,1470,32445,32445,0,100
Brenau University,Gainesville,GA,30501-3668,34.3031,-83.8215,0.7829,957,20,1469,23350,23350,0,100
Pacific Union College,Angwin,CA,94508-9707,38.5741,-122.4496,0.5055,1017,22,1465,27480,27480,0,100
Saint Augustine's University,Raleigh,NC,27610-2298,35.785,-78.6218,0.6738,749,15,1465,17890,17890,0,100
Texas Lutheran University,Seguin,TX,78155-5999,29.5733,-97.9846,0.5087,1041,23,1460,25890,25890,0,100
Saint Mary's College,Notre Dame,IN,46556,41.6167,-86.2898,0.8568,1141,26,1449,34600,34600,0,100
William Jewell College,Liberty,MO,64068-1896,39.2478,-94.4121,0.5778,1146,25,1442,31000,31000,0,100
Freed-Hardeman University,Henderson,TN,38340-2399,35.4401,-88.6394,0.9203,1098,24,1438,20468,20468,0,100
Rivier University,Nashua,NH,3060,42.7383,-71.4555,0.8928,932,19,1435,28055,28055,0,100
Alvernia University,Reading,PA,19607-1799,40.3102,-75.9382,0.7762,976,20,1433,29060,29060,0,100
Hartwick College,Oneonta,NY,13820-4020,42.454,-75.0736,0.8424,1126,25,1431,38930,38930,0,100
Belhaven University,Jackson,MS,39202,32.3184,-90.1692,0.4842,1033,22,1429,19970,19970,0,100
Swarthmore College,Swarthmore,PA,19081,39.9041,-75.3561,0.1432,1442,33,1428,44718,44718,0,100
MCPHS University,Boston,MA,02115-5896,42.337,-71.101,0.8921,1094,24,1427,28470,28470,0,100
Whitman College,Walla Walla,WA,99362,46.0714,-118.3302,0.5696,1327,30,1424,43500,43500,0,100
Rollins College,Winter Park,FL,32789-4499,28.592,-81.3487,0.5889,1199,27,1422,41460,41460,0,100
Virginia Wesleyan College,Norfolk,VA,23502-5599,36.8684,-76.1861,0.9311,1021,21,1421,32482,32482,0,100
Dordt College,Sioux Center,IA,51250-1697,43.084,-96.1663,0.7542,1119,25,1420,26540,26540,0,100
Columbus College of Art and Design,Columbus,OH,43215,39.9658,-82.9885,0.8551,1035,22,1416,30390,30390,0,100
College of the Ozarks,Point Lookout,MO,65726-0017,36.616,-93.2382,0.1301,1050,23,1414,18330,18330,0,100
Saint Francis University,Loretto,PA,15940,40.5028,-78.6385,0.7606,1026,23,1412,29992,29992,0,100
Alma College,Alma,MI,48801-1599,43.3792,-84.6701,0.6791,1100,25,1409,32660,32660,0,100
Houghton College,Houghton,NY,14744,42.4268,-78.1569,0.9108,1113,25,1409,27728,27728,0,100
John Brown University,Siloam Springs,AR,72761,36.1911,-94.5591,0.6982,1144,25,1404,22734,22734,0,100
Walsh University,North Canton,OH,44720-3396,40.8733,-81.3691,0.7713,1047,23,1404,25840,25840,0,100
East Texas Baptist University,Marshall,TX,75670-1498,32.555,-94.3722,0.7362,957,20,1402,22590,22590,0,100
Anderson University,Anderson,SC,29621-4035,34.5155,-82.6402,0.6502,1079,24,1398,22790,22790,0,100
Lycoming College,Williamsport,PA,17701-5192,41.2461,-77.0003,0.7162,1047,24,1396,33746,33746,0,100
Birmingham Southern College,Birmingham,AL,35254,33.5155,-86.8536,0.6422,1177,26,1395,30690,30690,0,100
Mary Baldwin College,Staunton,VA,24401,38.1548,-79.0683,0.8835,959,22,1388,28720,28720,0,100
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,41.0878,-85.1737,0.5362,981,21,1385,25180,25180,0,100
Sewanee-The University of the South,Sewanee,TN,37383-1000,35.2044,-85.9178,0.6027,1248,28,1385,35756,35756,0,100
William Penn University,Oskaloosa,IA,52577,41.3089,-92.6483,0.5766,926,20,1384,23210,23210,0,100
Lenoir-Rhyne University,Hickory,NC,28601,35.739,-81.3262,0.6806,976,21,1384,29310,29310,0,100
Dean College,Franklin,MA,02038-1941,42.085,-71.399,0.6835,845,17,1379,33230,33230,0,100
Waynesburg University,Waynesburg,PA,15370-1257,39.8994,-80.1873,0.7523,1015,23,1379,20540,20540,0,100
Grand View University,Des Moines,IA,50316,41.6209,-93.605,0.9542,979,21,1378,22628,22628,0,100
Fontbonne University,Saint Louis,MO,63105-3098,38.6427,-90.3157,0.6524,1070,23,1377,22684,22684,0,100
Tusculum College,Greeneville,TN,37743,36.1726,-82.7617,0.7225,961,21,1377,22250,22250,0,100
Reed College,Portland,OR,97202-8199,45.4804,-122.6306,0.4853,1371,31,1366,46010,46010,0,100
Georgetown College,Georgetown,KY,40324-1696,38.2079,-84.5546,0.8219,1085,24,1365,32310,32310,0,100
Alfred University,Alfred,NY,14802-1205,42.2559,-77.7886,0.698,1106,25,1361,25430,25430,0,100
Bryn Mawr College,Bryn Mawr,PA,19010,40.0285,-75.315,0.3992,1334,30,1358,43900,43900,0,100
Post University,Waterbury,CT,6723,41.5353,-73.0805,0.8302,865,19,1356,20925,20925,0,100
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,44.9498,-93.1549,0.5239,991,21,1355,19700,19700,0,100
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,39.5106,-87.4604,0.9754,895,19,1354,27672,27672,0,100
Grinnell College,Grinnell,IA,50112-1690,41.747,-92.7212,0.3506,1357,30,1344,43656,43656,0,100
McMurry University,Abilene,TX,79697,32.4296,-99.7503,0.5924,982,21,1344,24296,24296,0,100
Shenandoah University,Winchester,VA,22601-5195,39.1661,-78.1584,0.8456,1016,23,1339,29934,29934,0,100
Asbury University,Wilmore,KY,40390-1198,37.862,-84.6626,0.6573,1110,24,1338,26076,26076,0,100
College of Saint Elizabeth,Morristown,NJ,07960-6989,40.7811,-74.436,0.4836,855,,1337,31095,31095,0,100
Central College,Pella,IA,50219,41.4002,-92.9187,0.658,1089,24,1336,30700,30700,0,100
Westmont College,Santa Barbara,CA,93108-1089,34.4493,-119.6619,0.7016,1193,27,1323,38510,38510,0,100
Benedictine College,Atchison,KS,66002-1499,39.573,-95.1114,0.6057,1145,25,1323,23900,23900,0,100
Catawba College,Salisbury,NC,28144,35.6924,-80.4866,0.4058,985,,1323,26820,26820,0,100
Kalamazoo College,Kalamazoo,MI,49006-3295,42.2904,-85.6013,0.6689,1240,28,1322,39450,39450,0,100
Santa Fe University of Art and Design,Santa Fe,NM,87505-7634,35.6587,-105.9768,0.9975,998,21,1322,30136,30136,0,100
Aurora University,Aurora,IL,60506-4892,41.7545,-88.3495,0.7595,1011,22,1316,20720,20720,0,100
Southwestern University,Georgetown,TX,78626,30.6352,-97.6646,0.5217,1168,26,1309,35240,35240,0,100
MidAmerica Nazarene University,Olathe,KS,66062-1899,38.8726,-94.7826,0.7223,950,20,1302,22290,22290,0,100
Saint Joseph's College-New York,Brooklyn,NY,11205-3688,40.6905,-73.968,0.7538,1054,23,1300,21878,21878,0,100
Vaughn College of Aeronautics and Technology,Flushing,NY,11369,40.7683,-73.8817,0.7706,989,,1297,20450,20450,0,100
Mount Aloysius College,Cresson,PA,16630-1999,40.4599,-78.6014,0.6876,915,20,1297,20268,20268,0,100
Whittier College,Whittier,CA,90601,33.9776,-118.0284,0.6325,1043,23,1294,40296,40296,0,100
Tiffin University,Tiffin,OH,44883,41.1192,-83.1836,0.3856,969,21,1284,20700,20700,0,100
Concordia University-Chicago,River Forest,IL,60305-1499,41.8986,-87.81,0.5441,1030,22,1280,27598,27598,0,100
North Greenville University,Tigerville,SC,29688-1892,35.0698,-82.3703,0.5791,1137,25,1279,14772,14772,0,100
University of Bridgeport,Bridgeport,CT,06604-5620,41.1656,-73.1894,0.6385,923,20,1277,29090,29090,0,100
Thomas More College,Crestview Hills,KY,41017-3495,39.023,-84.5689,0.8775,1033,23,1272,27345,27345,0,100
Marian University,Indianapolis,IN,46222-1997,39.8153,-86.2046,0.5795,1024,22,1271,28400,28400,0,100
Ursinus College,Collegeville,PA,19426-1000,40.1941,-75.4557,0.6633,1182,27,1271,44530,44530,0,100
Trine University,Angola,IN,46703-1764,41.6334,-85.0057,0.7157,1095,24,1267,28850,28850,0,100
Wheeling Jesuit University,Wheeling,WV,26003,40.0709,-80.6908,0.6892,1023,22,1264,27830,27830,0,100
Beloit College,Beloit,WI,53511-5595,42.5036,-89.0315,0.6769,1227,27,1262,41250,41250,0,100
Gallaudet University,Washington,DC,20002-3695,38.9074,-76.9937,0.6558,841,18,1258,13800,13800,0,100
Coe College,Cedar Rapids,IA,52402-5092,41.9864,-91.6575,0.6171,1166,26,1256,35730,35730,0,100
Lake Forest College,Lake Forest,IL,60045-2399,42.2505,-87.8308,0.5727,1157,26,1251,39842,39842,0,100
Carroll College,Helena,MT,59625-0002,46.6022,-112.0405,0.53,1112,24,1251,27914,27914,0,100
Guilford College,Greensboro,NC,27410-4108,36.0926,-79.8888,0.6818,1067,23,1246,32470,32470,0,100
Northwestern College,Orange City,IA,51041,42.999,-96.0584,0.7609,1095,24,1243,26764,26764,0,100
Virginia Union University,Richmond,VA,23220,37.5619,-77.451,0.5848,750,15,1241,15130,15130,0,100
Southeastern University,Lakeland,FL,33801-6034,28.0319,-81.919,0.5932,955,20,1232,19986,19986,0,100
Spring Hill College,Mobile,AL,36608-1791,30.6948,-88.1382,0.4627,1100,24,1227,30924,30924,0,100
University of Saint Joseph,West Hartford,CT,6117,41.783,-72.7305,0.857,950,20,1227,33417,33417,0,100
Bridgewater College,Bridgewater,VA,22812-1599,38.3784,-78.969,0.5493,1033,23,1223,29090,29090,0,100
University of New England,Biddeford,ME,04005-9599,43.4582,-70.3859,0.8584,1057,24,1222,33145,33145,0,100
St Thomas University,Miami Gardens,FL,33054-6459,25.9209,-80.2563,0.4567,904,19,1221,26370,26370,0,100
Keystone College,La Plume,PA,18440-0200,41.559,-75.7775,0.7205,901,19,1220,21300,21300,0,100
Mars Hill University,Mars Hill,NC,28754,35.8259,-82.5509,0.6447,941,20,1219,25636,25636,0,100
La Sierra University,Riverside,CA,92515-8247,33.9088,-117.4971,0.4677,926,20,1217,29103,29103,0,100
Roberts Wesleyan College,Rochester,NY,14624,43.1267,-77.799,0.726,1046,23,1208,27364,27364,0,100
Saint Vincent College,Latrobe,PA,15650-2690,40.2925,-79.4037,0.6875,1035,23,1206,30350,30350,0,100
Columbia College,Columbia,SC,29203,34.0629,-81.0014,0.6499,1027,22,1206,26800,26800,0,100
Eastern Nazarene College,Quincy,MA,02170-2999,42.2712,-71.0112,0.5579,954,21,1203,27922,27922,0,100
Centenary College,Hackettstown,NJ,7840,40.8487,-74.8328,0.9094,956,21,1202,30540,30540,0,100
College of Mount Saint Vincent,Bronx,NY,10471-1093,40.9128,-73.907,0.731,919,20,1202,30290,30290,0,100
Barton College,Wilson,NC,27893-7000,35.7355,-77.9138,0.4177,939,20,1202,25396,25396,0,100
University of Dallas,Irving,TX,75062-4736,32.8462,-96.9216,0.9011,1216,27,1200,33110,33110,0,100
Hiram College,Hiram,OH,44234-0067,41.311,-81.1416,0.5736,1030,22,1199,30290,30290,0,100
Mount Ida College,Newton,MA,2459,42.2932,-71.1947,0.6065,880,18,1196,29377,29377,0,100
Austin College,Sherman,TX,75090-4400,33.6463,-96.5988,0.5861,1181,25,1196,33830,33830,0,100
Millsaps College,Jackson,MS,39210-0001,32.3231,-90.1781,0.4745,1159,26,1193,32520,32520,0,100
Simmons College,Boston,MA,02115-5898,42.3393,-71.1,0.4897,1149,26,1186,35380,35380,0,100
Concordia University-Irvine,Irvine,CA,92612-3203,33.6535,-117.8106,0.9119,1020,23,1184,29630,29630,0,100
Concordia University-Nebraska,Seward,NE,68434-1556,40.9149,-97.0891,0.7152,1091,24,1180,24750,24750,0,100
Wingate University,Wingate,NC,28174-0159,34.9794,-80.4445,0.793,1013,22,1179,25040,25040,0,100
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,41.2265,-85.8139,0.7884,1050,23,1175,23970,23970,0,100
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.1505,-92.6853,0.6506,1006,22,1172,21320,21320,0,100
Randolph-Macon College,Ashland,VA,23005-5505,37.7497,-77.4723,0.637,1082,24,1171,34850,34850,0,100
Oglethorpe University,Atlanta,GA,30319-2797,33.8759,-84.3348,0.5576,1131,25,1169,31280,31280,0,100
North Central University,Minneapolis,MN,55404-1391,44.9694,-93.2614,0.9521,1044,23,1168,19996,19996,0,100
Nichols College,Dudley,MA,01571-5000,42.0425,-71.9296,0.8047,940,21,1167,32370,32370,0,100
Becker College,Worcester,MA,01609-2165,42.2692,-71.8119,0.6255,1006,22,1166,31500,31500,0,100
Washington College,Chestertown,MD,21620-1438,39.2173,-76.0688,0.6655,1168,27,1165,41120,41120,0,100
University of Jamestown,Jamestown,ND,58405,46.9154,-98.6972,0.5689,1038,23,1161,18494,18494,0,100
Queens University of Charlotte,Charlotte,NC,28274-0001,35.1889,-80.8322,0.7686,1058,24,1156,29800,29800,0,100
Southwestern Adventist University,Keene,TX,76059,32.3971,-97.3285,0.5392,949,20,1156,18640,18640,0,100
Hannibal-LaGrange University,Hannibal,MO,63401-1999,39.7308,-91.3914,0.6814,1029,22,1150,18770,18770,0,100
Presbyterian College,Clinton,SC,29325,34.4657,-81.8744,0.66,1121,25,1148,33650,33650,0,100
Hanover College,Hanover,IN,47243,38.7125,-85.4611,0.6673,1130,26,1142,31760,31760,0,100
Woodbury University,Burbank,CA,91510-7846,34.2092,-118.3407,0.5575,987,22,1135,33150,33150,0,100
Haverford College,Haverford,PA,19041-1392,40.0134,-75.3026,0.2349,1400,32,1135,45426,45426,0,100
Greenville College,Greenville,IL,62246,38.8948,-89.4092,0.657,1033,22,1134,23612,23612,0,100
Seton Hill University,Greensburg,PA,15601,40.3086,-79.5562,0.652,1032,23,1131,30300,30300,0,100
Claflin University,Orangeburg,SC,29115-4498,33.4974,-80.8544,0.526,873,18,1130,15010,15010,0,100
Hendrix College,Conway,AR,72032-3080,35.0997,-92.442,0.8039,1267,29,1129,37816,37816,0,100
Dominican University,River Forest,IL,60305,41.9028,-87.8219,0.5997,1031,22,1127,28810,28810,0,100
Oakland City University,Oakland City,IN,47660-1099,38.3396,-87.3516,0.7285,988,22,1125,19200,19200,0,100
Louisiana College,Pineville,LA,71359,31.3223,-92.4256,0.7423,968,21,1125,14120,14120,0,100
Avila University,Kansas City,MO,64145-1698,38.9122,-94.5914,0.6108,1028,22,1123,24950,24950,0,100
The Master's College and Seminary,Santa Clarita,CA,91321-1200,34.3821,-118.5174,0.6137,1104,25,1118,28800,28800,0,100
Southwestern College,Winfield,KS,67156-6224,37.2493,-96.9783,0.8968,1036,23,1114,23886,23886,0,100
Judson University,Elgin,IL,60123-1498,42.059,-88.2897,0.7069,1045,23,1111,27530,27530,0,100
Northwest Nazarene University,Nampa,ID,83686-5897,43.5632,-116.5644,0.617,1079,25,1110,26550,26550,0,100
Reinhardt University,Waleska,GA,30183-2981,34.3189,-84.5547,0.514,1013,22,1108,18670,18670,0,100
Clarke University,Dubuque,IA,52001-3198,42.5086,-90.6915,0.7752,1048,23,1107,28000,28000,0,100
Earlham College,Richmond,IN,47374-4095,39.8223,-84.9115,0.637,1262,29,1104,41450,41450,0,100
American International College,Springfield,MA,1109,42.1127,-72.5585,0.6779,885,19,1102,30040,30040,0,100
