number,full_name,position,height_in_inches,weight_in_lbs,date_of_birth,team
18,"Elliott, Kevin",WR,75,205,12/21/1988,BUF
24,"Gilmore, Stephon",CB,73,190,9/19/1990,BUF
77,"Glenn, Cordy",T,78,345,9/18/1989,BUF
88,"Goodwin, Marquise",WR,69,179,11/19/1990,BUF
89,"Gragg, Chris",TE,75,244,6/30/1990,BUF
11,"Graham, T.J.",WR,71,188,7/27/1989,BUF
15,"Hogan, Chris",WR,73,220,10/24/1988,BUF
5,"Hopkins, Dustin",K,74,193,10/1/1990,BUF
55,"Hughes, Jerry",OLB,74,254,8/13/1988,BUF
22,"Jackson, Fred",RB,73,216,2/20/1981,BUF
13,"Johnson, Steve",WR,74,207,7/22/1986,BUF
4,"Kolb, Kevin",QB,75,218,8/24/1984,BUF
91,"Lawson, Manny",OLB,77,240,7/13/1984,BUF
59,"Legursky, Doug",C,73,315,6/9/1986,BUF
35,"Leonhard, Jim",FS,68,188,10/27/1982,BUF
9,"Lewis, Thad",QB,74,200,11/19/1987,BUF
3,"Manuel, E.J.",QB,76,237,3/19/1990,BUF
73,"McClain, Antoine",G,77,336,12/6/1989,BUF
21,"McKelvin, Leodis",CB,70,185,9/4/1985,BUF
36,"Meeks, Jonathan",DB,72,209,11/8/1989,BUF
52,"Moats, Arthur",OLB,74,250,3/14/1988,BUF
8,"Moorman, Brian",P,72,174,2/5/1976,BUF
79,"Pears, Erik",T,80,316,6/25/1982,BUF
37,"Robey, Nickell",DB,67,165,1/17/1992,BUF
26,"Rogers, Justin",DB,71,181,1/16/1988,BUF
69,"Ross, Jay",DT,75,319,10/3/1987,BUF
65,"Sanborn, Garrison",LS,73,240,7/31/1985,BUF
25,"Searcy, Da'Norris",SS,71,216,11/16/1988,BUF
16,"Smith, Brad",WR,74,213,12/12/1983,BUF
44,"Smith, Brandon",DB,73,205,2/23/1987,BUF
85,"Smith, Lee",TE,78,265,11/21/1987,BUF
28,"Spiller, C.J.",RB,71,200,8/5/1987,BUF
38,"Summers, Frank",FB,69,248,9/6/1985,BUF
7,"Tuel, Jeff",QB,75,221,2/12/1991,BUF
60,"Urbik, Kraig",G,77,324,9/23/1985,BUF
66,"Welch, Thomas",T,79,310,6/19/1987,BUF
93,"Westerman, Jamaal",LB,75,255,2/21/1985,BUF
23,"Williams, Aaron",FS,72,199,4/23/1990,BUF
95,"Williams, Kyle",DT,73,303,6/10/1983,BUF
94,"Williams, Mario",DE,78,292,1/31/1985,BUF
27,"Williams, Duke",FS,71,201,10/15/1990,BUF
70,"Wood, Eric",C,76,310,3/18/1986,BUF
10,"Woods, Robert",WR,72,190,4/10/1992,BUF
50,"Anderson, James",OLB,74,235,9/26/1983,CHI
19,"Anderson, Joe",WR,73,196,11/21/1988,CHI
91,"Bass, David",DE,76,256,9/11/1990,CHI
80,"Bennett, Earl",WR,72,206,3/23/1987,CHI
83,"Bennett, Martellus",TE,78,265,1/10/1987,CHI
60,"Boggs, Taylor",C,75,285,2/20/1987,CHI
57,"Bostic, Jon",ILB,73,245,5/5/1991,CHI
38,"Bowman, Zack",DB,73,196,11/18/1984,CHI
55,"Briggs, Lance",OLB,73,244,11/12/1980,CHI
62,"Britton, Eben",G,78,308,10/14/1987,CHI
78,"Brown, James",T,76,306,11/30/1988,CHI
29,"Bush, Michael",RB,73,245,6/16/1984,CHI
74,"Bushrod, Jermon",T,77,320,8/19/1984,CHI
97,"Cohen, Landon",DE,73,300,8/3/1986,CHI
93,"Collins, Nate",DT,74,296,12/14/1987,CHI
47,"Conte, Chris",FS,74,203,2/23/1989,CHI
52,"Costanzo, Blake",OLB,73,235,4/14/1984,CHI
6,"Cutler, Jay",QB,75,220,4/29/1983,CHI
43,"Fiammetta, Tony",FB,72,250,8/22/1986,CHI
32,"Ford, Michael",RB,70,216,5/27/1990,CHI
22,"Forte, Matt",RB,74,218,12/10/1985,CHI
31,"Frey, Isaiah",CB,72,190,4/6/1990,CHI
63,"Garza, Roberto",C,74,310,3/26/1979,CHI
9,"Gould, Robbie",K,72,185,12/30/1981,CHI
59,"Greene, Khaseem",OLB,73,241,2/4/1989,CHI
35,"Hardin, Brandon",FS,75,217,10/30/1989,CHI
24,"Hayden, Kelvin",CB,72,195,7/23/1983,CHI
23,"Hester, Devin",WR,71,190,11/4/1982,CHI
17,"Jeffery, Alshon",WR,75,216,2/14/1990,CHI
26,"Jennings, Tim",CB,68,185,12/24/1983,CHI
75,"Long, Kyle",OG,78,313,12/5/1988,CHI
87,"Maneri, Steve",TE,79,280,3/20/1988,CHI
65,"Mannelly, Patrick",LS,77,265,4/18/1975,CHI
15,"Marshall, Brandon",WR,76,230,3/23/1984,CHI
99,"McClellin, Shea",DE,75,260,8/1/1989,CHI
12,"McCown, Josh",QB,76,213,7/4/1979,CHI
27,"McManis, Sherrick",DB,73,193,12/19/1987,CHI
69,"Melton, Henry",DT,75,295,10/11/1986,CHI
67,"Mills, Jordan",OT,77,316,12/24/1990,CHI
96,"Minter, Zach",DT,73,297,11/6/1990,CHI
92,"Paea, Stephen",DT,73,300,5/11/1988,CHI
90,"Peppers, Julius",DE,79,287,1/18/1980,CHI
8,"Podlesh, Adam",P,71,200,8/11/1983,CHI
88,"Rosario, Dante",TE,75,242,10/25/1984,CHI
79,"Scott, Jonathan",T,78,318,1/10/1983,CHI
68,"Slauson, Matt",G,77,315,2/18/1986,CHI
20,"Steltz, Craig",SS,73,210,5/7/1986,CHI
33,"Tillman, Charles",CB,74,198,2/23/1981,CHI
64,"Tupou, Christian",DT,74,300,5/7/1989,CHI
37,"Walters, Anthony",FS,73,207,9/19/1988,CHI
94,"Washington, Cornelius",DE,76,265,9/10/1989,CHI
14,"Weems, Eric",WR,69,195,7/4/1985,CHI
58,"Williams, D.J.",MLB,73,242,7/20/1982,CHI
25,"Wilson, C.J.",CB,71,187,11/18/1989,CHI
10,"Wilson, Marquess",WR,76,184,9/14/1992,CHI
98,"Wootton, Corey",DE,78,270,6/22/1987,CHI
21,"Wright, Major",SS,71,204,7/1/1988,CHI
97,"Atkins, Geno",DT,73,303,3/28/1988,CIN
25,"Bernard, Gio",RB,69,208,11/22/1991,CIN
53,"Boley, Michael",LB,75,230,8/24/1982,CIN
65,"Boling, Clint",G,77,311,5/9/1989,CIN
55,"Burfict, Vontaze",OLB,73,255,9/24/1990,CIN
33,"Burkhead, Rex",RB,70,218,7/2/1990,CIN
80,"Charles, Orson",TE,75,245,1/27/1991,CIN
73,"Collins, Anthony",T,77,315,11/2/1985,CIN
64,"Cook, Kyle",C,75,310,7/25/1983,CIN
32,"Crocker, Chris",DB,71,197,3/9/1980,CIN
14,"Dalton, Andy",QB,74,220,10/29/1987,CIN
51,"DiManche, Jayson",LB,73,240,9/22/1990,CIN
96,"Dunlap, Carlos",DE,78,280,2/28/1989,CIN
85,"Eifert, Tyler",TE,78,250,9/8/1990,CIN
69,"Evans, DeQuin",DE,74,265,5/17/1987,CIN
91,"Geathers, Robert",DE,75,280,8/11/1983,CIN
21,"Ghee, Brandon",DB,72,200,6/6/1987,CIN
95,"Gilberry, Wallace",DE,74,275,12/5/1984,CIN
18,"Green, A.J.",WR,76,207,7/31/1988,CIN
42,"Green-Ellis, BenJarvus",RB,71,220,7/2/1985,CIN
84,"Gresham, Jermaine",TE,77,260,6/16/1988,CIN
29,"Hall, Leon",CB,71,195,12/9/1984,CIN
46,"Harris, Clark",LS,77,245,7/10/1984,CIN
92,"Harrison, James",OLB,72,275,5/4/1978,CIN
16,"Hawkins, Andrew",WR,67,180,3/10/1986,CIN
72,"Hawkinson, Tanner",G,77,300,5/14/1990,CIN
10,"Huber, Kevin",P,73,212,7/16/1985,CIN
99,"Hunt, Margus",DE,80,280,7/14/1987,CIN
43,"Iloka, George",SS,76,217,6/20/1990,CIN
8,"Johnson, Josh",QB,75,205,5/15/1986,CIN
93,"Johnson, Michael",DE,79,270,2/7/1987,CIN
49,"Joiner, Brandon",LB,75,240,4/27/1989,CIN
24,"Jones, Adam",CB,70,180,9/30/1983,CIN
82,"Jones, Marvin",WR,74,195,3/12/1990,CIN
27,"Kirkpatrick, Dre",CB,74,185,10/26/1989,CIN
59,"Lamur, Emmanuel",LB,76,240,6/8/1989,CIN
37,"Lewis-Harris, Chris",CB,70,180,2/11/1989,CIN
58,"Maualuga, Rey",MLB,74,255,1/20/1987,CIN
26,"Mays, Taylor",FS,75,220,2/7/1988,CIN
20,"Nelson, Reggie",FS,71,210,9/21/1983,CIN
23,"Newman, Terence",CB,70,192,9/4/1978,CIN
2,"Nugent, Mike",K,70,190,3/2/1982,CIN
30,"Peerman, Cedric",RB,70,211,10/10/1986,CIN
94,"Peko, Domata",DT,75,322,11/27/1984,CIN
67,"Pollak, Mike",G,75,300,2/16/1985,CIN
56,"Porter, Sean",OLB,73,237,1/12/1991,CIN
36,"Pressley, Chris",FB,71,260,8/8/1986,CIN
57,"Rey, Vincent",LB,74,250,9/6/1987,CIN
66,"Robinson, Trevor",C,77,300,5/16/1990,CIN
5,"Robinson, Zac",QB,75,208,9/29/1986,CIN
12,"Sanu, Mohamed",WR,74,210,8/22/1989,CIN
11,"Sanzenbacher, Dane",WR,71,184,10/13/1988,CIN
81,"Smith, Alex",TE,76,250,5/22/1982,CIN
71,"Smith, Andre",T,76,335,1/25/1987,CIN
75,"Still, Devon",DT,77,320,7/11/1989,CIN
19,"Tate, Brandon",WR,73,195,10/5/1987,CIN
98,"Thompson, Brandon",DT,74,325,10/19/1989,CIN
88,"Whalen, Ryan",WR,73,200,7/26/1989,CIN
77,"Whitworth, Andrew",T,79,335,12/12/1981,CIN
40,"Williams, Shawn",SS,72,211,5/13/1991,CIN
68,"Zeitler, Kevin",G,76,315,3/8/1990,CIN
37,"Aubrey, Josh",DB,70,200,4/9/1991,CLE
24,"Bademosi, Johnson",CB,72,200,7/23/1990,CLE
82,"Barnidge, Gary",TE,77,250,9/22/1985,CLE
80,"Benjamin, Travis",WR,70,175,12/29/1989,CLE
15,"Bess, Davone",WR,70,195,9/13/1985,CLE
8,"Bogotay, Brandon",K,75,207,5/8/1989,CLE
95,"Bryant, Armonty",DE,76,265,5/20/1990,CLE
92,"Bryant, Desmond",DE,78,310,12/15/1985,CLE
79,"Butler, Rashad",T,76,310,2/10/1983,CLE
84,"Cameron, Jordan",TE,77,245,8/8/1988,CLE
17,"Campbell, Jason",QB,77,230,12/31/1981,CLE
59,"Carder, Tank",OLB,74,235,1/18/1989,CLE
75,"Cousins, Oniel",G,76,315,6/29/1984,CLE
8,"Cundiff, Billy",K,73,212,3/30/1980,CLE
65,"Gilkey, Garrett",OT,78,320,7/7/1990,CLE
39,"Gipson, Tashaun",FS,71,205,8/7/1990,CLE
12,"Gordon, Josh",WR,75,225,4/13/1991,CLE
47,"Gray, MarQueis",TE,76,250,11/7/1989,CLE
77,"Greco, John",G,76,315,3/24/1985,CLE
54,"Groves, Quentin",OLB,75,265,7/5/1984,CLE
23,"Haden, Joe",CB,71,190,4/14/1989,CLE
96,"Hazel, Paul",LB,77,227,5/4/1990,CLE
6,"Hoyer, Brian",QB,74,215,10/13/1985,CLE
93,"Hughes, John",DT,74,320,4/27/1988,CLE
52,"Jackson, D'Qwell",ILB,72,240,9/26/1983,CLE
67,"Kitchen, Ishmaa'ily",NT,73,330,8/24/1988,CLE
99,"Kruger, Paul",OLB,76,270,2/15/1986,CLE
5,"Lanning, Spencer",P,71,200,5/21/1988,CLE
66,"Lauvao, Shawn",G,75,315,10/26/1987,CLE
28,"Lewis, Dion",RB,68,195,9/27/1990,CLE
60,"Lewis, Patrick",C,73,311,1/30/1991,CLE
18,"Little, Greg",WR,74,220,5/30/1989,CLE
55,"Mack, Alex",C,76,311,11/19/1985,CLE
58,"Magee, Brandon",OLB,71,255,10/22/1990,CLE
56,"Martin, Eric",LB,74,250,7/21/1991,CLE
29,"McFadden, Leon",CB,69,195,10/26/1990,CLE
26,"McGahee, Willis",RB,72,235,10/21/1981,CLE
83,"Milton, Keavon",TE,76,293,6/23/1990,CLE
51,"Mingo, Barkevious",OLB,76,240,10/4/1990,CLE
25,"Ogbonnaya, Chris",RB,72,225,5/5/1986,CLE
21,"Owens, Chris",CB,69,180,12/1/1986,CLE
62,"Pinkston, Jason",G,76,305,9/5/1987,CLE
34,"Rainey, Bobby",RB,68,212,10/16/1987,CLE
53,"Robertson, Craig",ILB,73,234,2/11/1988,CLE
71,"Rubin, Ahtyba",DE,74,330,7/25/1986,CLE
72,"Schwartz, Mitchell",T,77,320,6/8/1989,CLE
97,"Sheard, Jabaal",OLB,74,255,5/10/1989,CLE
22,"Skrine, Buster",CB,69,185,4/26/1989,CLE
98,"Taylor, Phillip",NT,75,335,4/7/1988,CLE
73,"Thomas, Joe",T,78,312,12/4/1984,CLE
64,"Wallace, Martin",T,78,305,4/22/1990,CLE
43,"Ward, T.J.",SS,70,200,12/12/1986,CLE
3,"Weeden, Brandon",QB,75,220,10/14/1983,CLE
35,"Whittaker, Fozzy",RB,70,202,2/2/1989,CLE
90,"Winn, Billy",DE,76,295,4/15/1989,CLE
57,"Yount, Christian",LS,73,256,7/8/1988,CLE
59,"Brown, Arthur",ILB,72,235,6/17/1990,BAL
23,"Brown, Chykie",DB,71,190,12/26/1986,BAL
14,"Brown, Marlon",WR,76,205,4/22/1991,BAL
49,"Bryant, D.J.",LB,75,248,3/3/1989,BAL
56,"Bynes, Josh",ILB,73,240,8/24/1989,BAL
99,"Canty, Chris",DE,79,317,11/10/1982,BAL
87,"Clark, Dallas",TE,75,252,6/12/1979,BAL
62,"Cody, Terrence",NT,76,340,6/28/1988,BAL
46,"Cox, Morgan",LS,76,241,4/26/1986,BAL
84,"Dickson, Ed",TE,76,255,7/25/1987,BAL
17,"Doss, Tandon",WR,74,207,9/22/1989,BAL
58,"Dumervil, Elvis",OLB,71,260,1/19/1984,BAL
26,"Elam, Matt",FS,70,210,9/21/1991,BAL
5,"Flacco, Joe",QB,78,245,1/16/1985,BAL
66,"Gradkowski, Gino",C,75,300,11/5/1988,BAL
24,"Graham, Corey",CB,72,196,7/25/1985,BAL
95,"Hamilton, Adrian",LB,75,255,11/29/1987,BAL
29,"Huff, Michael",FS,72,211,3/6/1983,BAL
32,"Ihedigbo, James",SS,73,214,12/3/1983,BAL
25,"Jackson, Asa",CB,70,182,12/2/1989,BAL
77,"Jensen, Ryan",C,76,318,5/27/1991,BAL
97,"Jones, Arthur",DE,75,315,6/3/1986,BAL
12,"Jones, Jacoby",WR,74,215,7/11/1984,BAL
40,"Juszczyk, Kyle",RB,73,245,4/23/1991,BAL
4,"Koch, Sam",P,73,218,8/13/1982,BAL
44,"Leach, Vonta",FB,72,260,11/6/1981,BAL
41,"Levine, Anthony",DB,71,203,3/27/1987,BAL
53,"McClain, Jameel",ILB,73,245,7/25/1985,BAL
50,"McClellan, Albert",OLB,74,245,6/4/1986,BAL
78,"McKinnie, Bryant",T,80,352,9/23/1979,BAL
90,"McPhee, Pernell",LB,75,280,12/17/1988,BAL
13,"Mellette, Aaron",WR,74,217,12/28/1989,BAL
36,"Miles, Jeromy",SS,74,214,7/20/1987,BAL
60,"Monroe, Eugene",T,77,306,4/18/1987,BAL
92,"Ngata, Haloti",NT,76,340,1/21/1984,BAL
74,"Oher, Michael",T,76,315,5/28/1986,BAL
72,"Osemele, Kelechi",G,77,330,6/24/1989,BAL
30,"Pierce, Bernard",RB,72,218,5/10/1990,BAL
88,"Pitta, Dennis",TE,76,245,6/29/1985,BAL
76,"Reid, Jah",T,79,340,7/21/1988,BAL
27,"Rice, Ray",RB,68,212,1/22/1987,BAL
68,"Shipley, A.Q.",C,73,309,5/22/1986,BAL
94,"Simon, John",LB,73,257,10/14/1990,BAL
22,"Smith, Jimmy",CB,74,200,7/26/1988,BAL
51,"Smith, Daryl",ILB,74,248,3/14/1982,BAL
82,"Smith, Torrey",WR,72,205,1/26/1989,BAL
96,"Spears, Marcus",DE,76,315,3/8/1983,BAL
80,"Stokley, Brandon",WR,72,194,6/23/1976,BAL
55,"Suggs, Terrell",OLB,75,260,10/11/1982,BAL
2,"Taylor, Tyrod",QB,73,215,8/3/1989,BAL
83,"Thompson, Deonte",WR,72,203,2/14/1989,BAL
9,"Tucker, Justin",K,72,180,11/21/1989,BAL
93,"Tyson, DeAngelo",DE,74,315,4/12/1989,BAL
91,"Upshaw, Courtney",OLB,74,272,12/13/1989,BAL
71,"Wagner, Ricky",OT,78,310,10/21/1989,BAL
21,"Webb, Lardarius",CB,70,182,10/12/1985,BAL
98,"Williams, Brandon",DT,73,335,2/21/1989,BAL
73,"Yanda, Marshal",G,75,305,9/15/1984,BAL
62,"Arkin, David",G,77,310,10/7/1987,DAL
19,"Austin, Miles",WR,74,216,6/30/1984,DAL
5,"Bailey, Dan",K,72,191,1/26/1988,DAL
79,"Bass, Ben",DE,77,294,10/12/1989,DAL
11,"Beasley, Cole",WR,68,180,4/26/1989,DAL
73,"Bernadeau, Mackenzy",G,76,333,1/3/1986,DAL
58,"Bosworth, Kyle",LB,73,245,11/21/1986,DAL
88,"Bryant, Dez",WR,74,222,11/4/1988,DAL
39,"Carr, Brandon",CB,72,206,5/19/1986,DAL
79,"Carter, David",DT,77,300,12/10/1987,DAL
54,"Carter, Bruce",OLB,74,246,2/19/1988,DAL
42,"Church, Barry",FS,74,218,2/11/1988,DAL
24,"Claiborne, Morris",CB,71,190,2/7/1990,DAL
63,"Cook, Ryan",C,78,331,5/8/1983,DAL
67,"Costa, Phil",C,75,302,7/11/1987,DAL
98,"Crawford, Tyrone",DE,76,284,11/22/1989,DAL
25,"Dunbar, Lance",RB,68,188,1/25/1990,DAL
52,"Durant, Justin",OLB,73,228,9/21/1985,DAL
89,"Escobar, Gavin",TE,78,249,2/3/1991,DAL
72,"Frederick, Travis",C,75,311,3/18/1991,DAL
68,"Free, Doug",T,78,325,1/6/1984,DAL
33,"Greenwood, Chris",CB,73,193,7/10/1989,DAL
84,"Hanna, James",TE,76,250,7/14/1989,DAL
17,"Harris, Dwayne",WR,70,207,9/16/1987,DAL
97,"Hatcher, Jason",DT,78,299,7/13/1982,DAL
96,"Hayden, Nick",DT,76,301,2/4/1986,DAL
38,"Heath, Jeff",DB,73,209,5/14/1991,DAL
57,"Holloman, DeVonte",OLB,73,242,2/12/1991,DAL
37,"Johnson, Matt",SS,73,212,7/22/1989,DAL
6,"Jones, Chris",P,72,197,7/21/1989,DAL
55,"Jones, Edgar",DE,76,262,12/1/1984,DAL
91,"LaDouceur, L.P.",LS,77,259,3/13/1981,DAL
65,"Leary, Ronald",G,75,331,4/29/1989,DAL
50,"Lee, Sean",MLB,74,234,7/22/1986,DAL
40,"McCray, Danny",SS,73,221,3/10/1988,DAL
29,"Murray, DeMarco",RB,72,219,2/12/1988,DAL
70,"Nevis, Drake",DT,73,310,5/8/1989,DAL
18,"Orton, Kyle",QB,76,228,11/14/1982,DAL
78,"Parnell, Jermey",T,78,307,7/20/1986,DAL
21,"Randle, Joseph",RB,72,198,12/29/1991,DAL
90,"Ratliff, Jay",NT,76,303,8/29/1981,DAL
95,"Rayford, Caesar",DE,79,267,3/4/1986,DAL
9,"Romo, Tony",QB,74,236,4/21/1980,DAL
32,"Scandrick, Orlando",CB,70,195,2/10/1987,DAL
99,"Selvie, George",DE,76,270,3/6/1987,DAL
59,"Sims, Ernie",ILB,72,233,12/23/1984,DAL
87,"Smith, Andre",TE,77,270,9/26/1988,DAL
77,"Smith, Tyron",T,77,318,12/12/1990,DAL
93,"Spencer, Anthony",DE,75,262,1/23/1984,DAL
34,"Tanner, Phillip",RB,70,208,8/8/1988,DAL
94,"Ware, DeMarcus",DE,76,258,7/31/1982,DAL
64,"Waters, Brian",G,75,320,2/18/1977,DAL
20,"Webb, B.W.",CB,70,178,5/3/1990,DAL
75,"Weems, Darrion",T,77,308,9/4/1988,DAL
51,"Wilber, Kyle",DE,76,250,4/26/1989,DAL
27,"Wilcox, J.J.",SS,72,217,2/14/1991,DAL
83,"Williams, Terrance",WR,74,200,9/8/1989,DAL
82,"Witten, Jason",TE,78,261,5/6/1982,DAL
20,"Adams, Mike",SS,71,200,3/24/1981,DEN
39,"Anderson, C.J.",RB,68,224,2/10/1991,DEN
91,"Ayers, Robert",DE,75,274,9/6/1985,DEN
24,"Bailey, Champ",CB,72,192,6/22/1978,DEN
28,"Ball, Montee",RB,70,215,12/5/1990,DEN
68,"Beadles, Zane",G,76,305,11/19/1986,DEN
31,"Bolden, Omar",CB,70,195,12/20/1988,DEN
65,"Boren, Justin",OG,74,315,4/28/1988,DEN
55,"Bradley, Stewart",LB,76,258,11/2/1983,DEN
46,"Brewer, Aaron",LS,77,230,7/5/1990,DEN
30,"Bruton, David",SS,74,217,7/23/1987,DEN
12,"Caldwell, Andre",WR,72,200,4/15/1985,DEN
28,"Carter, Quinton",SS,73,200,7/20/1988,DEN
32,"Carter, Tony",DB,69,175,5/24/1986,DEN
78,"Clady, Ryan",T,78,315,9/6/1986,DEN
75,"Clark, Chris",T,77,305,10/1/1985,DEN
4,"Colquitt, Britton",P,75,205,3/20/1985,DEN
87,"Decker, Eric",WR,75,214,3/15/1987,DEN
81,"Dreessen, Joel",TE,76,245,7/26/1982,DEN
2,"Dysert, Zac",QB,75,221,2/8/1990,DEN
74,"Franklin, Orlando",T,79,320,12/16/1987,DEN
85,"Green, Virgil",TE,77,255,8/3/1988,DEN
25,"Harris, Chris",CB,70,199,6/18/1989,DEN
21,"Hillman, Ronnie",RB,70,195,9/14/1991,DEN
11,"Holliday, Trindon",WR,65,170,4/27/1986,DEN
33,"Ihenacho, Duke",SS,73,207,6/16/1989,DEN
56,"Irving, Nate",OLB,73,245,7/12/1988,DEN
97,"Jackson, Malik",DE,77,293,1/11/1990,DEN
23,"Jammer, Quentin",CB,72,204,6/19/1979,DEN
53,"Johnson, Steven",LB,73,237,3/28/1988,DEN
69,"Justice, Winston",OT,78,317,9/14/1984,DEN
94,"Knighton, Terrance",DT,75,335,7/4/1986,DEN
67,"Koppen, Dan",C,74,300,9/12/1979,DEN
73,"Kuper, Chris",G,76,303,12/19/1982,DEN
51,"Lenon, Paris",LB,74,240,11/26/1977,DEN
18,"Manning, Peyton",QB,77,230,3/24/1976,DEN
47,"McCray, Lerentee",OLB,75,249,8/26/1990,DEN
58,"Miller, Von",OLB,75,250,3/26/1989,DEN
72,"Moffitt, John",OG,76,319,10/28/1986,DEN
26,"Moore, Rahim",FS,73,195,2/11/1990,DEN
27,"Moreno, Knowshon",RB,71,220,7/16/1987,DEN
17,"Osweiler, Brock",QB,80,240,11/22/1990,DEN
90,"Phillips, Shaun",DE,75,255,5/13/1981,DEN
5,"Prater, Matt",K,70,195,8/10/1984,DEN
66,"Ramirez, Manny",C,75,320,2/13/1983,DEN
57,"Robinson, Adrian",LB,73,250,11/21/1989,DEN
45,"Rodgers-Cromartie, Dominique",CB,74,193,4/7/1986,DEN
69,"Smith, Quanterus",DE,77,255,11/26/1989,DEN
84,"Tamme, Jacob",TE,75,230,3/15/1985,DEN
88,"Thomas, Demaryius",WR,75,229,12/25/1987,DEN
80,"Thomas, Julius",TE,77,250,6/27/1988,DEN
