state,whyIsStateNameSo
oklahoma,windy
oklahoma,why is oklahoma sooners called sooners
oklahoma,prone to tornados
oklahoma,late in sending tax refunds
oklahoma,why is oklahoma sooner state
oklahoma,backward
oklahoma,dry
oregon,liberal
oregon,hot right now
oregon,important
oregon,smokey
oregon,expensive
oregon,rainy
oregon,anti-religious
oregon,dry
oregon,white
pennsylvania,haunted
pennsylvania,liberal
pennsylvania,good at wrestling
pennsylvania,boring
pennsylvania,humid
pennsylvania,important
pennsylvania,hilly
rhode+island,small
rhode+island,screwed up
rhode+island,expensive
rhode+island,important
rhode+island,liberal
rhode+island,poor
south+carolina,conservative
south+carolina,dangerous
south+carolina,poor
south+dakota,windy
south+dakota,poor
south+dakota,why is south dakota so
tennessee,violent
tennessee,humid
tennessee,dangerous
tennessee,awesome
tennessee,special
texas,big
texas,high in flu epidemic 2018
texas,humid
texas,awesome
texas,windy
texas,important
texas,boring
texas,backward
utah,weird
utah,expensive
utah,polluted
utah,conservative
utah,safe
utah,dry
utah,republican
utah,good
vermont,liberal
vermont,white
vermont,expensive
vermont,healthy
vermont,expensive to live in
virginia,where is virginia southern university
virginia,important
virginia,strict
virginia,why is virginia soil red
virginia,good
virginia,where is virginia south africa
washington,liberal
washington,afraid of trump
washington,rainy
washington,beautiful
washington,important
washington,corrupt
west+virginia,republican
west+virginia,unhappy
west+virginia,trashy
west+virginia,obese
west+virginia,poor
west+virginia,fat
wisconsin,liberal
wisconsin,cold
wisconsin,important to thanksgiving
wisconsin,flat
wisconsin,democrat
wisconsin,cold this year
wyoming,unpopulated
wyoming,windy
wyoming,sparsely populated
wyoming,cold
wyoming,empty
wyoming,small
