Rank,Name,Net Worth,Age,Source,Country of Citizenship
497,Beny Steinmetz,3500000000,58,"mining, diamonds, real estate",Israel
497,Martin Viessmann,3500000000,61,heating equipment,Germany
497,Zhang Changhong,3500000000,56,finance information service,China
512,Brian Acton,3400000000,43,WhatsApp,United States
512,Saif Al Ghurair,3400000000,0,diversified,United Arab Emirates
512,Marc Benioff,3400000000,50,business software,United States
512,John Doerr,3400000000,63,venture capital,United States
512,Walter Faria,3400000000,59,beer,Brazil
512,David Filo,3400000000,48,Yahoo,United States
512,Christa Gelpke,3400000000,0,pharmaceuticals,Germany
512,Masatoshi Ito,3400000000,90,retail,Japan
512,Erich Kellerhals,3400000000,76,electronics retailer,Germany
512,Suleiman Kerimov,3400000000,48,investments,Russia
512,Mangal Prabhat Lodha,3400000000,59,real estate,India
512,Magdalena Martullo-Blocher,3400000000,46,chemicals,Switzerland
512,Clayton Mathile,3400000000,74,pet food,United States
512,Anthony Pritzker,3400000000,54,"hotels, investments",United States
512,Jay Robert (J.B.) Pritzker,3400000000,50,"hotels, investments",United States
512,"Julian Robertson, Jr.",3400000000,83,hedge funds,United States
512,Kushal Pal Singh,3400000000,83,real estate,India
512,Chee Chen Tung,3400000000,73,shipping,Hong Kong
512,Wu Yajun,3400000000,51,real estate,China
512,Steve Wynn,3400000000,73,"casinos, hotels",United States
512,Zhang Xin,3400000000,49,real estate,China
533,Heinz-Georg Baus,3400000000,81,home improvement stores,Germany
534,"Austen Cargill, II.",3300000000,64,Cargill,United States
534,"James Cargill, II.",3300000000,65,Cargill,United States
534,Isabel dos Santos,3300000000,41,investments,Angola
534,Juan Carlos Escotet,3300000000,55,banking,Venezuela
534,Dan Friedkin,3300000000,50,Toyota dealerships,United States
534,Jiang Bin,3300000000,48,acoustic components,China
534,Daryl Katz,3300000000,53,pharmacies,Canada
534,Peter Kellogg,3300000000,72,investments,United States
534,Li Zhongchu,3300000000,51,software,China
534,Marianne Liebmann,3300000000,61,Cargill,United States
534,Najib Mikati,3300000000,59,telecom,Lebanon
534,Taha Mikati,3300000000,70,telecom,Lebanon
534,Masahiro Miki,3300000000,59,retail,Japan
534,Shigenobu Nagamori,3300000000,70,motors,Japan
534,Axel Oberwelland,3300000000,48,candy,Germany
534,Pang Kang,3300000000,59,soy sauce maker,China
534,Michael Pieper,3300000000,69,kitchen appliances,Switzerland
534,Leandro Rizzuto,3300000000,76,consumer products,United States
534,Teddy Sagi,3300000000,43,gambling software,Israel
534,Stephan Schmidheiny,3300000000,67,investments,Switzerland
534,Harry Stine,3300000000,73,agriculture,United States
534,Andreas Struengmann,3300000000,65,pharmaceuticals,Germany
534,Thomas Struengmann,3300000000,65,pharmaceuticals,Germany
557,Abdulla Al Futtaim,3200000000,0,"auto dealers, investments",United Arab Emirates
557,Bubba Cathy,3200000000,60,Chick-Fil-A,United States
557,Dan Cathy,3200000000,62,Chick-Fil-A,United States
557,Jason Chang,3200000000,70,electronics,Singapore
557,Dagmar Dolby,3200000000,73,Dolby Laboratories,United States
557,Doris Fisher,3200000000,83,Gap,United States
557,Tom Gores,3200000000,50,private equity,United States
557,Jia Yueting,3200000000,42,online video,China
557,Mary Alice Dorrance Malone,3200000000,65,Campbell Soup,United States
557,Yuri Milner,3200000000,53,Facebook,Russia
557,Kerr Neilson,3200000000,65,investment,Australia
557,Thomas Pritzker,3200000000,64,"hotels, investments",United States
557,"Robert Rich, Jr.",3200000000,74,frozen foods,United States
557,Renzo Rosso,3200000000,59,Diesel jeans,Italy
557,Zygmunt Solorz-Zak,3200000000,58,TV broadcasting,Poland
557,Jeff Sutton,3200000000,55,real estate,United States
557,Joan Tisch,3200000000,89,diversified,United States
557,Roger Wang,3200000000,66,retail,United States
557,Wang Wenxue,3200000000,47,real estate,China
557,Zhu Xingliang,3200000000,55,construction,China
577,Emilio Azcarraga Jean,3100000000,47,media,Mexico
577,John Catsimatidis,3100000000,66,"oil, real estate, supermarkets",United States
577,Jean Pierre Cayard,3100000000,72,Spirits,France
577,Ray Davis,3100000000,73,pipelines,United States
577,Stanley Druckenmiller,3100000000,61,hedge funds,United States
577,Jaime Gilinski Bacal,3100000000,57,banking,Colombia
577,Erivan Haub,3100000000,82,retail,Germany
577,"Amos Hostetter, Jr.",3100000000,78,cable television,United States
577,Huang Rulun,3100000000,63,real estate,China
577,Johan Johannson,3100000000,48,grocery wholesaling,Norway
577,H. Fisk Johnson,3100000000,56,cleaning products,United States
577,Imogene Powers Johnson,3100000000,85,cleaning products,United States
577,S. Curtis Johnson,3100000000,59,cleaning products,United States
577,Helen Johnson-Leipold,3100000000,58,cleaning products,United States
577,Winnie Johnson-Marquart,3100000000,55,cleaning products,United States
577,John Kapoor,3100000000,71,healthcare,United States
577,David Murdock,3100000000,91,"Dole, real estate",United States
577,Jorge Perez,3100000000,65,condos,United States
577,Kevin Plank,3100000000,42,Under Armour,United States
577,Issad Rebrab,3100000000,71,food,Algeria
577,Naguib Sawiris,3100000000,60,telecom,Egypt
577,Alexander Svetakov,3100000000,47,"banking, real estate",Russia
577,Tang Yiu,3100000000,81,retail,Hong Kong
577,Alfred Taubman,3100000000,91,real estate,United States
577,Yu Yong,3100000000,54,mining investments,China
577,Eddie & Sol Zakay,3100000000,64,real estate,United Kingdom
603,Neil Bluhm,3000000000,77,real estate,United States
603,Richard Chandler,3000000000,56,investments,New Zealand
603,Andrew & Peggy Cherng,3000000000,0,restaurants,United States
603,Mark Cuban,3000000000,56,online media,United States
603,Aloysio de Andrade Faria,3000000000,94,banking,Brazil
603,Jeff Greene,3000000000,60,"real estate, investments",United States
603,Indu Jain,3000000000,78,media,India
603,Min Kao,3000000000,66,navigation equipment,United States
603,Igor Kesaev,3000000000,48,"tobacco distribution, retail",Russia
603,William Koch,3000000000,74,"oil, investments",United States
603,James Leprino,3000000000,77,cheese,United States
603,Sudhir & Samir Mehta,3000000000,0,diversified,India
603,Karl-Johan Persson,3000000000,39,H&M,Sweden
603,Tom Persson,3000000000,30,H&M,Sweden
603,"David Rockefeller, Sr.",3000000000,99,"oil, banking",United States
603,"Wilbur Ross, Jr.",3000000000,77,investments,United States
603,Stephen Rubin,3000000000,77,sports apparel,United Kingdom
603,Shaul Shani,3000000000,60,technology,Israel
603,Charlotte Soderstrom,3000000000,38,H&M,Sweden
603,Daniel Tsai,3000000000,58,finance,Taiwan
603,Richard Tsai,3000000000,57,finance,Taiwan
603,Hans Peter Wild,3000000000,73,Wild Flavors GmbH,Germany
603,Oprah Winfrey,3000000000,61,Television,United States
603,Ye Chenghai,3000000000,71,pharmaceuticals,Hong Kong
603,Yeoh Tiong Lay,3000000000,85,"construction, real estate",Malaysia
628,Syed Mokhtar AlBukhary,2900000000,63,diversified,Malaysia
628,Carlo Benetton,2900000000,71,"clothing, investments",Italy
628,Gilberto Benetton,2900000000,73,"clothing, investments",Italy
628,Giuliana Benetton,2900000000,77,"clothing, investments",Italy
628,Luciano Benetton,2900000000,79,"clothing, investments",Italy
628,David Cheriton,2900000000,63,Google,Canada
628,"William Conway, Jr.",2900000000,65,private equity,United States
628,Daniel D'Aniello,2900000000,68,private equity,United States
628,Jack Dangermond,2900000000,69,mapping software,United States
628,Giuseppe De'Longhi,2900000000,75,coffee makers,Italy
628,Andre Esteves,2900000000,46,banking,Brazil
628,John Fisher,2900000000,53,Gap,United States
628,Rosa Anna Magno Garavoglia,2900000000,0,spirits,Italy
628,Guenter Herz & Family,2900000000,74,coffee,Germany
628,Daniela Herz,2900000000,61,coffee,Germany
628,Kim Bum-Soo,2900000000,48,mobile chat service,South Korea
628,Edward Lampert,2900000000,52,Sears,United States
628,Samuel Tak Lee,2900000000,75,real estate,Hong Kong
628,Edwin Leong,2900000000,63,real estate,Hong Kong
628,Youssef Mansour,2900000000,69,diversified,Egypt
628,Sergio Mantegazza,2900000000,87,travel,Switzerland
628,Kalanithi Maran,2900000000,49,media,India
628,Siegfried Meister,2900000000,76,appliances,Germany
628,Dirk Rossmann,2900000000,68,drugstore chain,Germany
628,David Rubenstein,2900000000,65,private equity,United States
628,Michael & Rainer Schmidt-Ruthenbeck,2900000000,0,retail,Germany
628,Richard Schulze,2900000000,74,Best Buy,United States
628,Shin Chang-Jae,2900000000,61,insurance,South Korea
628,Herbert Simon,2900000000,80,real estate,United States
628,Warren Stephens,2900000000,58,investment banking,United States
628,Donald Sterling,2900000000,79,real estate,United States
628,Wang Wenjing,2900000000,50,enterprise software,China
628,John Whittaker,2900000000,72,real estate,United Kingdom
628,Evan Williams,2900000000,42,Twitter,United States
628,Xue Xiangdong,2900000000,56,software,China
663,Yvonne Bauer,2800000000,37,media,Germany
663,Chen Fashu,2800000000,54,"mining, hypermarkets",China
663,John Paul DeJoria,2800000000,71,"hair products, tequila",United States
663,Judy Faulkner,2800000000,71,health IT,United States
663,Ken Fisher,2800000000,64,money management,United States
663,Lindsay Fox,2800000000,77,transport,Australia
663,Andreas Halvorsen,2800000000,53,hedge funds,Norway
663,Peter Hargreaves,2800000000,68,financial services,United Kingdom
663,Jimmy Haslam,2800000000,61,retail,United States
663,Hortensia Herrero,2800000000,64,supermarkets,Spain
663,Huang Shih Tsai,2800000000,63,real estate,Hong Kong
663,Hui Lin Chit,2800000000,61,hygiene products,China
663,Saleh Kamel,2800000000,73,diversified,Saudi Arabia
663,Law Kar Po,2800000000,67,real estate,Hong Kong
663,Ma Jianrong,2800000000,51,"textiles, apparel",China
663,Wolfgang Marguerre,2800000000,74,pharmaceuticals,Germany
663,Bernardo Matte,2800000000,59,paper,Chile
663,Eliodoro Matte,2800000000,69,paper,Chile
663,Patricia Matte,2800000000,71,paper,Chile
663,Martin Naughton,2800000000,75,heating equipment,Ireland
663,Prasert Prasarttong-Osoth,2800000000,81,hospitals,Thailand
663,Qi Shi,2800000000,45,internet portal,China
663,Richard Rainwater,2800000000,70,"real estate, energy, insurance",United States
663,Vivek Chaand Sehgal,2800000000,58,auto parts,Australia
663,Sze Man Bok,2800000000,65,hygiene products,China
663,Vladimir Yevtushenkov,2800000000,66,telecom,Russia
663,Michael Ying,2800000000,65,retail,Hong Kong
690,Robert Bass,2700000000,67,"oil, investments",United States
690,Stephen Bisciotti,2700000000,54,"outsourcing, football",United States
690,George Bishop,2700000000,78,oil & gas,United States
690,Bernard Broermann,2700000000,71,healthcare,Germany
690,Eva Maria Bucher-Haefner,2700000000,58,Computer Associates,Switzerland
690,Hubert Burda,2700000000,75,publishing,Germany
690,Jack Dorsey,2700000000,38,Twitter,United States
690,Charles Dunstone,2700000000,51,mobile phones,United Kingdom
690,Philippe Foriel-Destezet,2700000000,79,employment agency,France
690,Martin Haefner,2700000000,61,"technology, investments",Switzerland
690,Otto Happel,2700000000,67,engineering,Germany
690,Joshua Harris,2700000000,50,private equity,United States
690,Heidi Horten,2700000000,74,retail,Austria
690,Hanni Toosbuy Kasprzak,2700000000,57,shoes,Denmark
690,Liu Zhongtian,2700000000,51,aluminum products,China
690,Friedhelm Loh,2700000000,68,manufacturing,Germany
690,Ronald McAulay,2700000000,78,diversified,Hong Kong
690,Lorenzo Mendoza,2700000000,49,beverages,Venezuela
690,Husnu Ozyegin,2700000000,70,"finance, diversified",Turkey
690,A. Jerrold Perenchio,2700000000,84,"television, Univision",United States
690,Michael Rubin,2700000000,42,online retailing,United States
690,Tony Tan Caktiong,2700000000,62,fast food,Philippines
690,Wang Yusuo,2700000000,50,natural gas distribution,China
690,Christoph Zeller,2700000000,0,dental implants,Germany
714,John Arnold,2600000000,40,hedge funds,United States
714,Semahat Sevim Arsel,2600000000,86,diversified,Turkey
714,Carl Bennet,2600000000,63,investments,Sweden
714,David Bonderman,2600000000,72,private equity,United States
714,Ron Burkle,2600000000,62,"supermarkets, investments",United States
714,John Caudwell,2600000000,62,mobile phones,United Kingdom
714,Bharat Desai,2600000000,62,Outsourcing,United States
714,"John Dorrance, III.",2600000000,71,Campbell Soup,Ireland
714,H. Wayne Huizenga,2600000000,77,investments,United States
714,Baba Kalyani,2600000000,66,engineering,India
714,Leng Beng Kwek,2600000000,74,real estate,Singapore
714,Kenneth Langone,2600000000,79,investments,United States
714,Michel Leclercq,2600000000,75,sporting goods,France
714,Michael Moritz,2600000000,60,venture capital,United States
714,Rajan Raheja,2600000000,60,diversified,India
714,Mochtar Riady,2600000000,85,diversified,Indonesia
714,Patrick Ryan,2600000000,77,insurance,United States
714,"Bernard Saul, II.",2600000000,82,"banking, real estate",United States
714,Vichai Srivaddhanaprabha,2600000000,57,duty-free,Thailand
714,Michael Stoschek,2600000000,67,autoparts,Germany
714,Bulat Utemuratov,2600000000,57,"mining, banking, hotels",Kazakhstan
714,"William Wrigley, Jr.",2600000000,51,chewing gum,United States
714,Mortimer Zuckerman,2600000000,77,"real estate, media",United States
737,William Ackman,2500000000,48,hedge funds,United States
737,Andrej Babis,2500000000,60,agriculture,Czech Republic
737,Rahul Bajaj,2500000000,76,motorcycles,India
737,Marie Besnier Beauvalot,2500000000,34,cheese,France
737,Jean-Michel Besnier,2500000000,47,cheese,France
737,Arthur Blank,2500000000,72,Home Depot,United States
737,Alain Bouchard,2500000000,66,retail,Canada
737,Karen Johnson Boyd,2500000000,90,cleaning products,United States
737,Peter Buck,2500000000,84,Subway sandwich shops,United States
737,Clive Calder,2500000000,68,record label,United Kingdom
737,Silas Chou,2500000000,68,apparel,Hong Kong
737,Denise Coates,2500000000,47,Online Gambling,United Kingdom
737,Jose Luis Cutrale,2500000000,68,orange juice,Brazil
737,Fred DeLuca,2500000000,67,Subway sandwich shops,United States
737,Tilman Fertitta,2500000000,57,"restaurants, casinos",United States
737,Alexandre Grendene Bartelle,2500000000,65,shoes,Brazil
737,Henry Hillman,2500000000,96,investments,United States
737,B. Wayne Hughes,2500000000,81,self storage,United States
737,Mustafa Rahmi Koc,2500000000,84,diversified,Turkey
737,Daniel Loeb,2500000000,53,hedge funds,United States
737,Lu Xiangyang,2500000000,52,"automobiles, batteries",China
737,Alexander Mamut,2500000000,55,investments,Russia
737,Thomas Meyer,2500000000,0,apparel retailer,Switzerland
737,Michael Milken,2500000000,68,investments,United States
737,Robert Miller,2500000000,69,electronics components,Canada
737,Ermirio Pereira de Moraes,2500000000,82,diversified,Brazil
737,Maria Helena Moraes Scripilliti,2500000000,84,diversified,Brazil
737,Yoshiko Mori,2500000000,74,real estate,Japan
737,Alexander Nesis,2500000000,52,"metals, banking, fertilizers",Russia
737,Philip Niarchos,2500000000,61,art collection,Greece
737,Stefan Olsson,2500000000,66,diversified,Sweden
737,Sean Parker,2500000000,35,Facebook,United States
737,Mary & Douglas Perkins,2500000000,0,retail,United Kingdom
737,Sebastian Pinera,2500000000,65,investments,Chile
737,Jean (Gigi) Pritzker,2500000000,53,"hotels, investments",United States
737,Penny Pritzker,2500000000,55,"hotels, investments",United States
737,Marc Rowan,2500000000,53,private equity,United States
737,Ferit Faik Sahenk,2500000000,50,"banking, media",Turkey
737,Alvaro Saieh Bendeck,2500000000,65,banking,Chile
737,Carlos Sanchez,2500000000,53,generic drugs,Brazil
737,Howard Schultz,2500000000,61,Starbucks,United States
737,Romesh T. Wadhwani,2500000000,67,software,United States
737,Dean White,2500000000,91,"billboards, hotels",United States
737,M.A. Yusuff Ali,2500000000,59,retail,India
781,Guenther Lehmann,2500000000,0,drug stores,Germany
782,Chang Yun Chung,2400000000,96,shipping,Singapore
782,Jean Coutu,2400000000,87,pharmacies,Canada
782,Ashwin Dani,2400000000,72,paints,India
782,Edson de Godoy Bueno,2400000000,71,"hospitals, health care",Brazil
782,James Dinan,2400000000,55,hedge funds,United States
782,Tom Golisano,2400000000,73,payroll services,United States
782,Mikhail Gutseriev,2400000000,56,"oil, real estate",Russia
782,Carlos Hank Rhon,2400000000,67,banking,Mexico
782,Timothy Headington,2400000000,64,"oil & gas, investments",United States
782,Ingeburg Herz,2400000000,93,coffee,Germany
782,Spiro Latsis,2400000000,68,"banking, shipping",Greece
782,Patrick Lee,2400000000,73,paper,Hong Kong
782,Li Shufu,2400000000,51,automobiles,China
782,Robert McNair,2400000000,78,"energy, sports",United States
782,Erwin Franz Mueller,2400000000,82,drug stores,Germany
782,Rishad Naoroji,2400000000,63,consumer goods,India
782,Ravi Pillai,2400000000,61,construction,India
782,Alexander Ponomarenko,2400000000,50,port,Russia
782,Henry Samueli,2400000000,60,semiconductors,United States
782,Alexandra Schorghuber,2400000000,56,real estate,Germany
782,Alexander Skorobogatko,2400000000,47,port,Russia
782,Maria Luisa Solari Falabella,2400000000,74,retail,Chile
782,Lawrence Stroll,2400000000,55,retail,Canada
782,Sarik Tara,2400000000,84,construction,Turkey
782,Glen Taylor,2400000000,73,printing,United States
782,Ty Warner,2400000000,70,"real estate, plush toys",United States
782,Arne Wilhelmsen,2400000000,84,cruise ships,Norway
782,Nicholas Woodman,2400000000,39,video cameras,United States
810,John Arrillaga,2300000000,77,real estate,United States
810,Koos Bekker,2300000000,62,"media, investments",South Africa
810,Othman Benjelloun,2300000000,82,"banking, insurance",Morocco
810,Charles Bronfman,2300000000,83,liquor,Canada
810,Chen Jinxia,2300000000,46,investments,China
810,Lucio and Susan Co,2300000000,60,Retailing,Philippines
810,Kuldip Singh & Gurbachan Singh Dhingra,2300000000,0,paints,India
810,Barry Diller,2300000000,73,online media,United States
810,Bennett Dorrance,2300000000,69,Campbell Soup,United States
810,Robert Duggan,2300000000,70,pharmaceuticals,United States
810,Fong Yun Wah,2300000000,90,real estate,Hong Kong
810,Bernd Freier,2300000000,58,retail,Germany
810,Bill Gross,2300000000,70,investments,United States
810,Don Hankey,2300000000,71,auto loans,United States
810,Bahaa Hariri,2300000000,48,"real estate, investments, logistics",Lebanon
810,Johnelle Hunt,2300000000,83,trucking,United States
810,Huo Qinghua,2300000000,53,coal,China
810,Vyacheslav Kantor,2300000000,61,"fertilizer, real estate",Russia
810,Ke Xiping,2300000000,54,investments,China
810,Alicia Koplowitz,2300000000,60,"construction, investments",Spain
810,Miguel Krigsner,2300000000,65,cosmetics,Brazil
810,Raj Kumar & Kishin RK,2300000000,60,real estate,Singapore
810,Khoon Hong Kuok,2300000000,65,palm oil,Singapore
810,"Stephen Mandel, Jr.",2300000000,58,hedge funds,United States
810,Yasseen Mansour,2300000000,53,diversified,Egypt
810,Maja Oeri,2300000000,60,Roche Holding,Switzerland
810,Richard Peery,2300000000,76,real estate,United States
810,P.V. Ramprasad Reddy,2300000000,56,pharmaceuticals,India
810,Gary Rollins,2300000000,70,pest control,United States
810,Randall Rollins,2300000000,83,pest control,United States
810,Thomas Siebel,2300000000,62,business software,United States
810,Malvinder & Shivinder Singh,2300000000,0,healthcare,India
810,Peter Sondakh,2300000000,63,investments,Indonesia
810,Song Zuowen,2300000000,67,"aluminum, diversified",China
810,"Clemmie Spangler, Jr.",2300000000,82,investments,United States
810,Tsai Hong-tu,2300000000,62,finance,Taiwan
810,Wang Changtian,2300000000,49,"TV, movie production",China
847,Bernardo Caprotti,2200000000,89,grocery stores,Italy
847,Tatiana Casiraghi,2200000000,31,beer,United States
847,Michel Chalhoub,2200000000,83,retail,France
847,Chu Lam Yiu,2200000000,45,flavorings,Hong Kong
847,James Coulter,2200000000,55,private equity,United States
847,Edgar de Picciotto,2200000000,85,private banking,Switzerland
847,Rafael Del Pino y Calvo-Sotelo,2200000000,56,construction,Spain
847,John Farber,2200000000,89,chemicals,United States
847,Andrew Forrest,2200000000,53,mining,Australia
847,Fu Liquan,2200000000,47,surveillance equipment,China
847,Victor Fung,2200000000,69,trading company,United States
847,William Fung,2200000000,66,sourcing,Hong Kong
847,Mitchell Goldhar,2200000000,53,real estate,Canada
847,Hoang Kieu,2200000000,70,pharmaceuticals,United States
847,Alijan Ibragimov,2200000000,61,"mining, metals",Kazakhstan
847,Erman Ilicak,2200000000,47,construction,Turkey
847,Michael Jaharis,2200000000,86,pharmaceuticals,United States
847,Suna Kirac,2200000000,73,diversified,Turkey
847,Manuel Lao Hernandez,2200000000,70,gambling,Spain
847,Louis Le Duff,2200000000,68,bakeries,France
847,Lee Boo-Jin,2200000000,44,computer services/tourism,South Korea
847,Lee Jay-Hyun,2200000000,54,food products/entertainment,South Korea
847,Douglas Leone,2200000000,57,venture capital,United States
847,Herbert Louis,2200000000,86,cleaning products,United States
847,Josephine Louis,2200000000,84,cleaning products,United States
847,Alexander Machkevich,2200000000,61,"mining, metals",Israel
847,Joe Mansueto,2200000000,58,investment research,United States
847,"Drayton McLane, Jr.",2200000000,78,"Wal-Mart, logistics",United States
847,Hans Melchers,2200000000,76,"chemicals, investments",Netherlands
847,C. Dean Metropoulos,2200000000,68,investments,United States
847,Patrice Motsepe,2200000000,53,mining,South Africa
847,Daniel Pritzker,2200000000,56,"hotels, investments",United States
847,John Pritzker,2200000000,62,"hotels, investments",United States
847,Chandru Raheja,2200000000,74,real estate,India
847,Helena Revoredo,2200000000,68,insurance,Spain
847,Larry Robbins,2200000000,45,hedge funds,United States
847,Filiz Sahenk,2200000000,48,"bank, media",Turkey
847,"Julio Mario Santo Domingo, III.",2200000000,29,beer,United States
847,Fayez Sarofim,2200000000,86,money management,United States
847,Gil Shwed,2200000000,47,software,Israel
847,Peter Spuhler,2200000000,55,manufacturing,Switzerland
847,Pat Stryker,2200000000,58,medical equipment,United States
847,Peter Thiel,2200000000,47,Facebook,United States
847,Clemens Toennies,2200000000,58,meat processing,Germany
847,Ted Turner,2200000000,76,cable television,United States
847,Chip Wilson,2200000000,58,Lululemon,Canada
847,Anita Zucker,2200000000,63,chemicals,United States
894,S. Daniel Abraham,2100000000,90,Slim-Fast,United States
894,Sulaiman Al Rajhi,2100000000,87,banking,Saudi Arabia
894,Ron Baron,2100000000,71,money management,United States
894,Jim Breyer,2100000000,53,venture capital,United States
894,John Brown,2100000000,80,medical equipment,United States
894,Cai Kui,2100000000,52,real estate,China
894,Jose and Francisco Jose Calderon Rojas,2100000000,60,beverages,Mexico
894,Francesco Gaetano Caltagirone,2100000000,71,"cement, diversified",Italy
894,"Chase Coleman, III.",2100000000,39,hedge fund,United States
894,Ennio Doris,2100000000,74,financial services,Italy
894,Feng Hailiang,2100000000,54,"copper processing, real estate",China
894,Gerald Ford,2100000000,70,banking,United States
894,James France,2100000000,70,"Nascar, racing",United States
894,Jean Claude Gandur,2100000000,66,"oil trading, exploration",Switzerland
894,Gordon Getty,2100000000,81,Getty Oil,United States
894,Sam Goi,2100000000,66,frozen foods,Singapore
894,Alec Gores,2100000000,61,private equity,United States
894,Noam Gottesman,2100000000,53,hedge funds,United States
894,Esther Grether,2100000000,79,"art collection, Swatch",Switzerland
894,Susan Hirt Hagen,2100000000,79,insurance,United States
894,Rakesh Jhunjhunwala,2100000000,54,investments,India
894,Bruce Karsh,2100000000,59,private equity,United States
894,Brad Kelley,2100000000,58,tobacco,United States
894,Habil Khorakiwala,2100000000,72,pharmaceuticals,India
894,Timur Kulibaev,2100000000,48,banking,Kazakhstan
894,Dinara Kulibaeva,2100000000,47,banking,Kazakhstan
894,Marc Ladreit de Lacharriere,2100000000,74,finance,France
894,Christos Lazari,2100000000,68,real estate,United Kingdom
894,Lee Seo-Hyun,2100000000,41,computer services/tourism,South Korea
894,Rodney Lewis,2100000000,61,natural gas,United States
894,Li Liufa,2100000000,57,"steel, diversified",China
894,Liang Xinjun,2100000000,47,diversified,China
894,Igor Makarov,2100000000,52,gas,Russia
894,Howard Marks,2100000000,68,private equity,United States
894,Daniel Mate,2100000000,51,"mining, commodities",Spain
894,Aristotelis Mistakidis,2100000000,53,"mining, commodities",Greece
894,Fernando Roberto Moreira Salles,2100000000,68,"banking, minerals",Brazil
894,Joao Moreira Salles,2100000000,53,"banking, minerals",Brazil
894,Walther Moreira Salles Junior,2100000000,58,"banking, minerals",Brazil
894,Pedro Moreira Salles,2100000000,55,"banking, minerals",Brazil
894,Farhad Moshiri,2100000000,59,diversified,United Kingdom
894,N.R. Narayana Murthy,2100000000,68,software services,India
894,Jonathan Nelson,2100000000,58,private equity,United States
894,Julio Ponce,2100000000,69,fertilizer,Chile
894,Carlos Rodriguez-Pastor,2100000000,55,finance,Peru
894,Stephen Saad,2100000000,50,pharmaceuticals,South Africa
894,Shen Guojun,2100000000,52,retail,China
894,Helmut Sohmen,2100000000,75,shipping,Austria
894,Sun Piaoyang,2100000000,56,pharmaceuticals,China
894,Tsai Cheng-da,2100000000,0,finance,Taiwan
894,T.Y. Tsai,2100000000,0,finance,Taiwan
894,Wim Van Der Leegte,2100000000,67,manufacturing,Netherlands
894,Wei Ing-Chou,2100000000,62,"food, beverages",Taiwan
894,Russ Weiner,2100000000,45,energy drinks,United States
894,Xiao Wenge,2100000000,48,entertainment,China
949,Mohamed Al Fayed,2000000000,86,"retail, investments",Egypt
949,Folorunsho Alakija,2000000000,64,oil,Nigeria
949,Vasily Anisimov,2000000000,63,"metals, real estate",Russia
949,Carlos Ardila Lulle,2000000000,84,"soft drinks, diversified",Colombia
949,George Argyros,2000000000,78,"real estate, investments",United States
949,Edward Bass,2000000000,70,"oil, investments",United States
949,Lee Bass,2000000000,58,"oil, investments",United States
949,Vladimir Bogdanov,2000000000,63,oil,Russia
949,Rossana Camargo de Arruda Botelho,2000000000,65,construction,Brazil
949,Pierre Chen,2000000000,57,"art, electronics",Taiwan
949,Patokh Chodiev,2000000000,62,"mining, metals",Belgium
949,Belmiro de Azevedo,2000000000,76,retail,Portugal
949,Glenn Dubin,2000000000,57,hedge funds,United States
949,Robert Fisher,2000000000,61,Gap,United States
949,William Fisher,2000000000,57,Gap,United States
949,Fiona Geminder,2000000000,50,packaging,Australia
949,David Hains,2000000000,84,finance,Australia
949,Lawrence Ho,2000000000,38,casinos,Hong Kong
949,Stanley Hubbard,2000000000,81,DirecTV,United States
949,Manuel Jove,2000000000,73,real estate,Spain
949,Bachtiar Karim,2000000000,58,manufacturing,Indonesia
949,Andrei Kozitsyn,2000000000,54,metals,Russia
949,Kwon Hyuk-Bin,2000000000,42,online games,South Korea
949,Lee Joong-Keun,2000000000,74,construction,South Korea
949,Thomas Lee,2000000000,70,leveraged buyouts,United States
949,Peter Lim,2000000000,61,investments,Singapore
949,Hans Georg Naeder,2000000000,53,prosthetics,Germany
949,Renata de Camargo Nascimento,2000000000,64,construction,Brazil
949,Or Wai Sheun,2000000000,63,real estate,Hong Kong
949,Florentino Perez,2000000000,67,construction,Spain
949,Ajay Piramal,2000000000,59,pharmaceuticals,India
949,Regina de Camargo Pires Oliveira Dias,2000000000,61,construction,Brazil
949,Forrest Preston,2000000000,81,health care,United States
949,Nicolas Puech,2000000000,72,Hermes,France
949,Chanchai Ruayrungruang,2000000000,61,real estate,China
949,Phillip Ruffin,2000000000,79,"casinos, real estate",United States
949,Shao Genhuo,2000000000,49,agribusiness,China
949,Michal Solowow,2000000000,52,investments,Poland
949,Jon Stryker,2000000000,56,medical equipment,United States
949,Torbjorn Tornqvist,2000000000,61,oil trading,Sweden
949,Tse Ping,2000000000,63,pharmaceuticals,China
949,Sunny Varkey,2000000000,57,education,India
949,Sandro Veronesi,2000000000,55,fashion retailer,Italy
949,Georg von Opel,2000000000,48,real estate/investments,Germany
949,Ronald Wanek,2000000000,73,furniture,United States
949,Wei Yin-Chun,2000000000,58,"food, beverages",Taiwan
949,Wei Yin-Heng,2000000000,56,"food, beverages",Taiwan
949,Wei Ying-Chiao,2000000000,60,"food, beverages",Taiwan
949,Meg Whitman,2000000000,58,Ebay,United States
949,Elaine Wynn,2000000000,71,"casinos, hotels",United States
949,Jerry Yang,2000000000,46,Yahoo,United States
1000,Lam Kong,2000000000,50,pharmaceuticals,China
