title,latitude,longitude,city,state,category_title,price,stars,star_rating
Quincy Lake,47.140934,-119.926025,Quincy,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Burke Lake West,47.13759,-119.93163,Quincy,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Winchester Lake #1,47.10726,-119.61841,Ephrata,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Lost Meadow,47.062515,-121.21982,Cle Elum,Washington,National Forest,FREE,5,2.5
Kiwanis Park,47.055,-109.46,Lewistown,Montana,City Park,FREE,5,2.5
Caliche Lake,47.033318,-119.928345,Quincy,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Gold Creek,46.987343,-113.67741,Missoula,Montana,BLM,FREE,5,2.5
Scoria Pit,46.945442,-103.588615,Medora,North Dakota,National Forest,FREE,5,2.5
Middle Waddel Campground,46.938988,-123.07792,Olympia,Washington,Dept. Natural Resources,FREE,5,2.5
Painted Canyon Visitor Center,46.895164,-103.380974,Belfield,North Dakota,Parking Lot,FREE,5,2.5
Ayer Boat Basin,46.585907,-118.36833,Prescott,Washington,Army Corps Of Engineers,FREE,5,2.5
Texas Rapids,46.563152,-118.099556,LaCrosse,Washington,Army Corps Of Engineers,FREE,5,2.5
Ahtanum Campground,46.52,-121.013,Yakima,Washington,Dept. Natural Resources,FREE,5,2.5
Sparrow Rapids Campground,46.50439,-88.947334,Trout Creek,Michigan,National Forest,FREE,5,2.5
Tree Phones Campground,46.49761,-121.1204,Yakima,Washington,Dept. Natural Resources,FREE,5,2.5
Sunday Lake Overnight Parking,46.478695,-89.93629,Wakefield,Michigan,Private Property,FREE,5,2.5
Kewadin Casino Hotel,46.47364,-84.32266,Sault Ste. Marie,Michigan,Parking Lot,FREE,5,2.5
Caboose Park RV Parking,46.32001,-117.98166,Dayton,Washington,City Park,FREE,5,2.5
Flint Creek Campground,46.2374,-113.306526,Philipsburg,Montana,National Forest,FREE,5,2.5
Captain Clark,46.075,-107.722,Custer,Montana,Dept. Fish & Wildlife,FREE,5,2.5
Otter Creek,45.854694,-109.91602,Big Timber,Montana,Dept. Fish & Wildlife,FREE,5,2.5
Cliffs Park,45.71362,-120.71229,Goldendale,Washington,Army Corps Of Engineers,FREE,5,2.5
The Shire,45.69227,-64.7072,New Horton,New Brunswick,Private Property,FREE,5,2.5
Glen Campground,45.467163,-112.6669,Twin Bridges,Montana,Dept. Fish & Wildlife,FREE,5,2.5
Spring Creek Campground,45.357105,-118.312035,La Grande,Oregon,National Forest,FREE,5,2.5
Odawa Casino Resort,45.349953,-84.97788,Petoskey,Michigan,Parking Lot,FREE,5,2.5
Seven Devils Campground,45.34745,-116.5172,Riggins,Idaho,National Forest,FREE,5,2.5
Cow Creek Campground & Picnic Area,45.31076,-106.24535,Ashland,Montana,National Forest,FREE,5,2.5
French Prairie Rest Area Northbound,45.271885,-122.77509,Aurora,Oregon,Rest Area,FREE,5,2.5
Ruby Reservoir Recreation Area,45.226006,-112.11872,Alder,Montana,BLM,FREE,5,2.5
Evergreen Aviation & Space Museum,45.205185,-123.14241,Mcminnville,Oregon,Parking Lot,FREE,5,2.5
Inner Basin,45.15989,-109.38952,Red Lodge,Montana,National Forest,FREE,5,2.5
Beaverhead Campground,44.996456,-112.85501,Dillon,Montana,Bureau of Reclamation,FREE,5,2.5
Homecoming Beach,44.989716,-112.87814,Dillon,Montana,Bureau of Reclamation,FREE,5,2.5
Bear Tooth Pass,44.92715,-109.52885,Cody,Wyoming,National Forest,FREE,5,2.5
Tongue River Campground,44.848,-107.306,Dayton,Wyoming,Dept. Fish & Wildlife,FREE,5,2.5
Lower Burnt Ranch,44.742615,-120.36146,Mitchell,Oregon,BLM,FREE,5,2.5
Little Sunlight Camping Area,44.717552,-109.59112,Cody,Wyoming,National Forest,FREE,5,2.5
Belle Fourche Dam & Reservoir,44.70014,-103.7305,Belle Fourche,South Dakota,Bureau of Reclamation,FREE,5,2.5
Targhee Creek Trailhead,44.669067,-111.31581,Island Park,Idaho,National Forest,FREE,5,2.5
Bill Frome County Park,44.6499,-111.438255,Island Park,Idaho,County Park,FREE,5,2.5
East Creek Campground,44.563843,-112.66086,Lima,Montana,National Forest,FREE,5,2.5
Miller City Park,44.523,-98.994,Miller,South Dakota,City Park,FREE,5,2.5
Cascade Chevron,44.504642,-116.03036,Cascade,Idaho,Dump Station,FREE,5,2.5
Fish Creek Road,44.48509,-111.28181,Island Park,Idaho,National Forest,FREE,5,2.5
Jones Pond,44.45675,-74.18813,Vermontville,New York,State Forest,FREE,5,2.5
Cyrus Horse Camp,44.44759,-121.10366,Culver,Oregon,National Forest,FREE,5,2.5
Lake Preston City Park,44.359703,-97.3702,Lake Preston,South Dakota,City Park,FREE,5,2.5
Henry's Fork RV Dump Station,44.355583,-111.4123,Island Park,Idaho,Dump Station,FREE,5,2.5
Harrington Loop Road,44.250557,-121.496735,Sisters,Oregon,National Forest,FREE,5,2.5
Richland Dam Recreation Area,44.147793,-100.40743,Pierre,South Dakota,National Forest,FREE,5,2.5
Birch Creek Campground,44.12306,-112.88997,Leadore,Idaho,BLM,FREE,5,2.5
Oxford Casino,44.114777,-70.44393,Oxford,Maine,Parking Lot,FREE,5,2.5
Badlands Rock,43.943516,-121.0257,Bend,Oregon,BLM,FREE,5,2.5
Steer Pasture Overlook Dispersed,43.912308,-102.226006,Wall,South Dakota,National Forest,FREE,5,2.5
Sage Creek Campground,43.89498,-102.41344,Wall,South Dakota,National Park,FREE,5,2.5
Nomad View Dispersed,43.88981,-102.22696,Wall,South Dakota,National Forest,FREE,5,2.5
North Fork Big Wood River,43.8413,-114.42632,Ketchum,Idaho,National Forest,FREE,5,2.5
Prairie Campground,43.816776,-114.5957,Ketchum,Idaho,National Forest,FREE,5,2.5
Michigan Brook Road,43.787163,-72.878555,Pittsfield,Vermont,National Forest,FREE,5,2.5
Upper Teton View,43.763756,-110.55381,Moose,Wyoming,National Forest,FREE,5,2.5
Teton Canyon Road,43.758904,-110.98572,Alta,Wyoming,National Forest,FREE,5,2.5
Oakridge Green Waters Park,43.739124,-122.45877,Oakridge,Oregon,City Park,FREE,5,2.5
Corral Creek,43.737343,-114.24936,Sun Valley,Idaho,National Forest,FREE,5,2.5
Trail Creek Road,43.73702,-114.30046,Sun Valley,Idaho,National Forest,FREE,5,2.5
Lake Creek Road,43.735043,-114.3662,Ketchum,Idaho,National Forest,FREE,5,2.5
Wickiup Reservoir,43.721077,-121.78196,Bend,Oregon,National Forest,FREE,5,2.5
Shadow Mountain,43.700195,-110.616325,Jackson,Wyoming,National Forest,FREE,5,2.5
Salt Creek Sno-Park,43.608273,-122.11797,Crescent,Oregon,National Forest,FREE,5,2.5
Wolf Flats Recreation Area,43.598858,-111.61092,Ririe,Idaho,BLM,FREE,5,2.5
Gros Ventre River,43.595486,-110.36774,Jackson,Wyoming,National Forest,FREE,5,2.5
Union Pass Road,43.452408,-109.98741,Cora,Wyoming,National Forest,FREE,5,2.5
Evans Creek Campground,43.400738,-115.414375,Mountain Home,Idaho,National Forest,FREE,5,2.5
Green Mountain Campground,43.386166,-120.72326,Christmas Valley,Oregon,BLM,FREE,5,2.5
Granite Hot Springs,43.34981,-110.440346,Jackson,Wyoming,National Forest,FREE,5,2.5
Clearwater Forebay Number 2,43.262104,-122.404495,Clearwater,Oregon,National Forest,FREE,5,2.5
Forest Road 281,43.259884,-111.06538,Irwin,Idaho,National Forest,FREE,5,2.5
Indian Creek,43.249245,-111.10278,Irwin,Idaho,National Forest,FREE,5,2.5
Bear's End,42.99671,-72.97604,Shaftsbury,Vermont,National Forest,FREE,5,2.5
Wind River Casino,42.98499,-108.39211,Riverton,Wyoming,Parking Lot,FREE,5,2.5
Seven Feathers Casino Resort,42.941715,-123.284546,Canyonville,Oregon,Parking Lot,FREE,5,2.5
Stoney Pond State Forest,42.88112,-75.7144,Erieville,New York,State Forest,FREE,5,2.5
Head Of The River,42.732,-121.419,Chiloquin,Oregon,National Forest,FREE,5,2.5
Forest Road 304 Dispersed,42.68452,-108.88912,Lander,Wyoming,National Forest,FREE,5,2.5
Goodenough Creek Campground,42.654255,-112.2859,McCammon,Idaho,BLM,FREE,5,2.5
Louis Lake Road,42.5174,-108.785385,Lander,Wyoming,National Forest,FREE,5,2.5
Four Mile Flat Quarry,42.43574,-122.15715,Klamath Falls,Oregon,National Forest,FREE,5,2.5
Chilvers Park,42.35198,-97.79089,Plainview,Nebraska,City Park,FREE,5,2.5
Miami Bar,42.351578,-123.78282,Selma,Oregon,National Forest,FREE,5,2.5
Troy Mills Wapsi Access,42.31581,-91.71487,Coggon,Iowa,County Park,FREE,5,2.5
Grayrocks Reservoir Public Access,42.159264,-104.699554,Wheatland,Wyoming,Dept. Fish & Wildlife,FREE,5,2.5
Harris Beach Rest Area,42.064793,-124.301605,Brookings,Oregon,Dump Station,FREE,5,2.5
Cabela's,41.9653,-83.67886,Dundee,Michigan,Parking Lot,FREE,5,2.5
Packer Lake Access Area,41.896526,-104.05325,Torrington,Wyoming,Dept. Fish & Wildlife,FREE,5,2.5
Forest Road 160,41.831116,-78.980804,Warren,Pennsylvania,National Forest,FREE,5,2.5
Sand Camp,41.74157,-123.980835,Crescent City,California,National Forest,FREE,5,2.5
Cracker Barrel,41.735153,-85.975716,Elkhart,Indiana,Parking Lot,FREE,5,2.5
Orr Lake Campground,41.663,-121.987,Macdoel,California,National Forest,FREE,5,2.5
White Mountain Road Dispersed,41.574406,-109.340294,Rock Springs,Wyoming,BLM,FREE,5,2.5
Deer Mountain Snowpark,41.570496,-122.13198,Weed,California,National Forest,FREE,5,2.5
Forest Road 318,41.34944,-106.26068,Centennial,Wyoming,National Forest,FREE,5,2.5
Toad Lake Campground,41.28353,-122.491646,Mount Shasta,California,National Forest,FREE,5,2.5
Pilot Peak Road,41.27209,-105.43771,Laramie,Wyoming,National Forest,FREE,5,2.5
Algoma Campground,41.256084,-121.88329,McCloud,California,National Forest,FREE,5,2.5
Government Gully Road,41.25547,-105.461784,Laramie,Wyoming,National Forest,FREE,5,2.5
Lake Hattie Public Access Area,41.237534,-105.90137,Laramie,Wyoming,Dept. Fish & Wildlife,FREE,5,2.5
Castle Lake Campground,41.236,-122.379,Mount Shasta,California,National Forest,FREE,5,2.5
Twin Buttes Reservoir,41.23437,-105.85412,Laramie,Wyoming,Dept. Fish & Wildlife,FREE,5,2.5
Pole Mountain Area,41.21072,-105.3862,Buford,Wyoming,National Forest,FREE,5,2.5
Laurel Run Road,41.132042,-75.21352,East Stroudsburg,Pennsylvania,State Forest,FREE,5,2.5
Tooley Park,41.030518,-98.057365,Marquette,Nebraska,City Park,FREE,5,2.5
Uinta Dispersed Campsites,40.87563,-110.83118,Evanston,Utah,National Forest,FREE,5,2.5
Streeter Park Campground,40.87325,-98.00275,Aurora,Nebraska,City Park,FREE,5,2.5
Carlin Canyon,40.72681,-116.00895,Carlin,Nevada,BLM,FREE,5,2.5
Mud Lake Trailhead,40.703503,-121.402306,Hat Creek,California,National Forest,FREE,5,2.5
Cabela's,40.558266,-76.006096,Hamburg,Pennsylvania,Parking Lot,FREE,5,2.5
Heber Mountain,40.41255,-111.18011,Heber City,Utah,National Forest,FREE,5,2.5
Cracker Barrel,40.41026,-104.99405,Loveland,Colorado,Parking Lot,FREE,5,2.5
Forest Road 302,40.367783,-106.68988,Steamboat Springs,Colorado,National Forest,FREE,5,2.5
Harper's Corner Road,40.361885,-108.98384,Dinosaur,Colorado,BLM,FREE,5,2.5
Mill Creek Recreation Area,40.355892,-116.993576,Battle Mountain,Nevada,BLM,FREE,5,2.5
Hidden Hollow Campground,40.334347,-80.76415,Bloomingdale,Ohio,Dept. Natural Resources,FREE,5,2.5
Chimney Rock,40.30927,-106.41775,Kremmling,Colorado,National Forest,FREE,5,2.5
Honey Lake Rest Area,40.256725,-120.4657,Janesville,California,Rest Area,FREE,5,2.5
Fivemile Pass OHV,40.234,-112.18,Cedar Valley,Utah,BLM,FREE,5,2.5
Walmart,40.159077,-111.64524,Springville,Utah,Parking Lot,FREE,5,2.5
Laufman Campground,40.135,-120.348,Milford,California,National Forest,FREE,5,2.5
Rock Creek Stage Station,40.05691,-106.64578,Oak Creek,Colorado,National Forest,FREE,5,2.5
Meadow View Equestrian Campground,40.03524,-120.212746,Doyle,California,National Forest,FREE,5,2.5
Williams Fork Reservoir,40.006832,-106.22184,Parshall,Colorado,Utility,FREE,5,2.5
Vernon Reservoir Campground,39.991814,-112.38583,Tooele,Utah,National Forest,FREE,5,2.5
Snake Lake Campground,39.975,-121.015,Quincy,California,National Forest,FREE,5,2.5
Meadow Camp Campground,39.930565,-121.04183,Quincy,California,National Forest,FREE,5,2.5
Nebo Loop Road,39.758972,-111.710175,Nephi,Utah,National Forest,FREE,5,2.5
Hook Lake Campground,39.72789,-81.70792,McConnelsville,Ohio,Utility,FREE,5,2.5
Willows Rest Area Northbound,39.59315,-122.20862,Willows,California,Dump Station,FREE,5,2.5
Grimy Gulch Campground,39.59263,-122.52447,Elk Creek,California,Bureau of Reclamation,FREE,5,2.5
Fig Orchard Campground,39.5787,-122.52246,Elk Creek,California,Bureau of Reclamation,FREE,5,2.5
Cabela's,39.513508,-119.9702,Verdi,Nevada,Parking Lot,FREE,5,2.5
Canyon Creek Campground,39.437622,-120.57978,Nevada City,California,National Forest,FREE,5,2.5
Burnt Mountain Road Dispersed,39.41305,-106.65765,Basalt,Colorado,National Forest,FREE,5,2.5
Spencer Hot Springs,39.326664,-116.859634,Austin,Nevada,BLM,FREE,5,2.5
Hollywood Casino at Charles Town Races,39.293633,-77.85415,Charles Town,West Virginia,Parking Lot,FREE,5,2.5
Colusa Casino Resort,39.255764,-122.03041,Colusa,California,Parking Lot,FREE,5,2.5
Hotel Nevada Casino,39.24789,-114.892624,Ely,Nevada,Parking Lot,FREE,5,2.5
Pottawatomie State Fishing Lake No.2,39.229282,-96.53082,Manhattan,Kansas,Dept. Fish & Wildlife,FREE,5,2.5
Cleve Creek Campground,39.219177,-114.55838,Ely,Nevada,BLM,FREE,5,2.5
4 Mile Creek Road,39.196163,-106.07434,Fairplay,Colorado,National Forest,FREE,5,2.5
McDonald Creek Cultural Area,39.171967,-109.01978,Mack,Colorado,BLM,FREE,5,2.5
North Boat Ramp,39.15394,-122.548134,Lucerne,California,Dept. Fish & Wildlife,FREE,5,2.5
Sacramento Pass Recreation Area,39.121517,-114.304924,Ely,Nevada,BLM,FREE,5,2.5
Clear Lake View,39.120872,-122.77626,Lucerne,California,National Forest,FREE,5,2.5
Tarryall CR-31 Area,39.103718,-105.48427,Lake George,Colorado,National Forest,FREE,5,2.5
Twin Lakes View,39.10162,-106.349884,Twin Lakes,Colorado,National Forest,FREE,5,2.5
South Mount Elbert,39.101196,-106.36759,Twin Lakes,Colorado,National Forest,FREE,5,2.5
Twin Lakes North,39.098057,-106.34898,Twin Lakes,Colorado,National Forest,FREE,5,2.5
Wedge Overlook,39.093204,-110.75894,Emery,Utah,BLM,FREE,5,2.5
Lake Tahoe East,39.089127,-119.89741,Carson City,Nevada,National Forest,FREE,5,2.5
Milford Lake Loop,39.06782,-96.93498,Junction City,Kansas,Army Corps Of Engineers,FREE,5,2.5
Bass Pro Shops,39.023804,-104.82538,Colorado Springs,Colorado,Parking Lot,FREE,5,2.5
Blackwell Horsecamp,39.01752,-86.389854,Heltonville,Indiana,National Forest,FREE,5,2.5
Miracle Rock,38.980724,-108.87144,Glade Park,Colorado,BLM,FREE,5,2.5
Maverik Gas Station,38.94822,-112.345856,Fillmore,Utah,Dump Station,FREE,5,2.5
Washington Gulch Road,38.933113,-107.01809,Crested Butte,Colorado,National Forest,FREE,5,2.5
Slate River,38.931988,-107.05079,Crested Butte,Colorado,National Forest,FREE,5,2.5
Buckhorn Draw,38.89274,-110.65193,Green River,Utah,BLM,FREE,5,2.5
Fourmile Recreation Area,38.892277,-106.13371,Buena Vista,Colorado,National Forest,FREE,5,2.5
Wilson Canyon,38.80763,-119.22312,Yerington,Nevada,BLM,FREE,5,2.5
Escalante Canyon Road,38.77281,-108.25716,Delta,Colorado,BLM,FREE,5,2.5
Trading Post Restaurant,38.764603,-102.79954,Kit Carson,Colorado,Parking Lot,FREE,5,2.5
Redden State Forest,38.7411,-75.4083,Georgetown,Delaware,State Forest,FREE,5,2.5
Dalton Well Road,38.730427,-109.724174,Moab,Utah,Bureau of Reclamation,FREE,5,2.5
Willow Springs Trail,38.696728,-109.6751,Moab,Utah,BLM,FREE,5,2.5
Forest Road 272,38.69358,-106.1423,Nathrop,Colorado,National Forest,FREE,5,2.5
South Temple Wash,38.656696,-110.66124,Green River,Utah,BLM,FREE,5,2.5
BLM 261 Lot,38.65294,-109.67324,Moab,Utah,BLM,FREE,5,2.5
Lone Mesa Campground,38.644234,-109.81962,Moab,Utah,BLM,FREE,5,2.5
Hendricks Flat,38.640507,-106.07831,Salida,Colorado,BLM,FREE,5,2.5
Lower Gemini Bridges,38.611786,-109.667046,Moab,Utah,BLM,FREE,5,2.5
Wild Horse Road,38.566628,-110.7483,Green River,Utah,BLM,FREE,5,2.5
Shavano Wildlife Management Area,38.55418,-106.11769,Salida,Colorado,BLM,FREE,5,2.5
Soap Creek Corral,38.543705,-107.31441,Gunnison,Colorado,National Forest,FREE,5,2.5
Forsyth Reservoir Recreation Area,38.52198,-111.52595,Loa,Utah,National Forest,FREE,5,2.5
Phantom Canyon Road,38.512604,-105.11427,Penrose,Colorado,BLM,FREE,5,2.5
Hartman Rocks,38.498863,-106.94827,Gunnison,Colorado,BLM,FREE,5,2.5
Potash Road,38.495132,-109.653015,Moab,Utah,State Trust Land,FREE,5,2.5
Cathedral Valley Campground,38.474377,-111.36709,Torrey,Utah,National Park,FREE,5,2.5
Royal Gorge Eastridge Campground,38.465057,-105.29173,Canon City,Colorado,City Park,FREE,5,2.5
St. Albans Roadside Park,38.388393,-81.824875,St. Albans,West Virginia,City Park,FREE,5,2.5
Buckeye Creek,38.23866,-119.33221,Bridgeport,California,National Forest,FREE,5,2.5
West Short Cut Road Dispersed,38.230057,-109.52844,Monticello,Utah,BLM,FREE,5,2.5
Napa Valley Casino,38.172005,-122.25304,American Canyon,California,Parking Lot,FREE,5,2.5
Saddle Lake Recreation Area,38.06025,-86.65695,Tell City,Indiana,National Forest,FREE,5,2.5
Tonopah Dispersed,38.05071,-117.21732,Tonopah,Nevada,BLM,FREE,5,2.5
Strataca Salt Mine Museum,38.044136,-97.86856,Hutchinson,Kansas,Parking Lot,FREE,5,2.5
Cabela's,38.02539,-84.41113,Lexington,Kentucky,Parking Lot,FREE,5,2.5
Last Dollar Road,38.00595,-107.95989,Telluride,Colorado,National Forest,FREE,5,2.5
Lake Sherwood Road Dispersed,37.959545,-80.07029,White Sulphur Springs,West Virginia,National Forest,FREE,5,2.5
Pioche City Park,37.937756,-114.45174,Pioche,Nevada,City Park,FREE,5,2.5
Berryman Campground,37.92959,-91.061935,Potosi,Missouri,National Forest,FREE,5,2.5
Alta Lakes,37.884598,-107.846664,Telluride,Colorado,National Forest,FREE,5,2.5
Sagehen Meadows Campground,37.865707,-118.860664,Mammoth Lakes,California,National Forest,FREE,5,2.5
Anvil Camping Area,37.821003,-107.719246,Silverton,Colorado,National Forest,FREE,5,2.5
Sultan Camping Area,37.82089,-107.71998,Silverton,Colorado,National Forest,FREE,5,2.5
Golden Horn Camping Area,37.812675,-107.743774,Durango,Colorado,National Forest,FREE,5,2.5
North Trout Lake Road,37.811752,-107.87045,Ophir,Colorado,National Forest,FREE,5,2.5
Lizard Head Pass,37.811195,-107.90569,Ophir,Colorado,National Forest,FREE,5,2.5
Glass Creek Campground,37.751507,-118.9892,June Lake,California,National Forest,FREE,5,2.5
Johns Valley,37.731647,-112.09453,Panguitch,Utah,BLM,FREE,5,2.5
Tom's Best Spring,37.72753,-112.24773,Panguitch,Utah,National Forest,FREE,5,2.5
Lower Deadman Campground,37.72055,-119.00939,Mammoth Lakes,California,National Forest,FREE,5,2.5
Del Norte City Park,37.68409,-106.35237,Del Norte,Colorado,City Park,FREE,5,2.5
San Luis State Wildlife Area,37.677185,-105.73308,Hooper,Colorado,State Park,FREE,5,2.5
Shepherd Hot Springs,37.66683,-118.803635,Mammoth Lakes,California,BLM,FREE,5,2.5
Chief Mountain West,37.664646,-114.75462,Caliente,Nevada,BLM,FREE,5,2.5
George's Gift,37.662483,-112.163895,Bryce,Utah,National Forest,FREE,5,2.5
Old Lime Creek Road,37.65429,-107.80208,Durango,Colorado,National Forest,FREE,5,2.5
Chief Mountain South Campground,37.604294,-114.659,Caliente,Nevada,BLM,FREE,5,2.5
Natural Bridges Abandoned Airstrip,37.540783,-109.96283,Blanding,Utah,BLM,FREE,5,2.5
Mule Canyon,37.539078,-109.730995,Blanding,Utah,BLM,FREE,5,2.5
Sacred White Shell Mountain,37.526985,-105.59354,Mosca,Colorado,BLM,FREE,5,2.5
West La Plata Mountains,37.47416,-108.16175,Mancos,Colorado,National Forest,FREE,5,2.5
Horney's Rest Stop,37.440105,-115.37839,Alamo,Nevada,BLM,FREE,5,2.5
Nelder Grove Campground,37.430527,-119.58452,Oakhurst,California,National Forest,FREE,5,2.5
Volcanic Tablelands,37.42877,-118.42506,Bishop,California,BLM,FREE,5,2.5
Forest Road 852,37.398262,-107.532265,Bayfield,Colorado,National Forest,FREE,5,2.5
East Fork San Juan River,37.390804,-106.84058,Pagosa Springs,Colorado,National Forest,FREE,5,2.5
Bay City Gulch,37.360973,-108.07815,Hesperus,Colorado,National Forest,FREE,5,2.5
Madden Peak Road,37.34765,-108.201584,Hesperus,Colorado,National Forest,FREE,5,2.5
Jackson Mountain Road,37.34735,-106.93428,Pagosa Springs,Colorado,National Forest,FREE,5,2.5
Grandview Campground,37.33352,-118.18727,Big Pine,California,National Forest,FREE,5,2.5
Buttermilk Road,37.32828,-118.579155,Bishop,California,National Forest,FREE,5,2.5
Valley of the Gods,37.315796,-109.851036,Mexican Hat,Utah,BLM,FREE,5,2.5
Whisky Falls Campground,37.286,-119.44,North Fork,California,National Forest,FREE,5,2.5
Wilson Creek Recreation Area,37.28578,-85.25561,Elk Horn,Kentucky,Army Corps Of Engineers,FREE,5,2.5
Old Highway 89,37.205696,-112.67502,Mount Carmel,Utah,BLM,FREE,5,2.5
Smithsonian Butte,37.151417,-113.05899,Rockville,Utah,BLM,FREE,5,2.5
Hancock Road,37.13644,-112.59966,Kanab,Utah,BLM,FREE,5,2.5
Eastern Shore of Virginia Welcome Center,37.133938,-75.965744,Cape Charles,Virginia,Parking Lot,FREE,5,2.5
Downstream RV Park,37.00281,-94.61396,Joplin,Missouri,RV Park,FREE,5,2.5
State Line Campground,37.001354,-112.034966,Kanab,Utah,BLM,FREE,5,2.5
Kirch Flat Campground,36.879,-119.149,Tollhouse,California,National Forest,FREE,5,2.5
Convict Flat Campground,36.81877,-118.83292,Hume,California,National Forest,FREE,5,2.5
Casa Blanca Resort Casino,36.801643,-114.10398,Mesquite,Nevada,Parking Lot,FREE,5,2.5
Cherry Gap Camping Area,36.783928,-118.968414,Hume,California,National Forest,FREE,5,2.5
Tenmile Road Camping Area,36.757122,-118.8888,Hume,California,National Forest,FREE,5,2.5
